group,1,2,3,4
het_black_female,24.0,36.0,45.0,59.0
het_black_male,26.0,39.0,48.0,62.0
het_hisp_female,25.0,35.0,46.0,61.0
het_hisp_male,25.0,36.0,46.0,61.0
het_white_female,23.0,35.0,45.0,59.05
het_white_male,26.0,40.0,48.0,62.0
idu_black_female,31.9,44.0,50.0,60.0
idu_black_male,32.0,47.0,53.0,61.0
idu_hisp_female,26.35,38.0,45.0,59.0
idu_hisp_male,27.0,40.0,49.0,60.0
idu_white_female,26.35,38.0,45.0,59.0
idu_white_male,26.0,40.0,49.0,61.0
msm_black_male,21.0,27.0,37.0,53.0
msm_hisp_male,22.0,31.0,39.0,53.0
msm_white_male,24.0,37.0,45.0,59.0

0f486d9d01eafbcaf99f7521ccc19c26239ec98a
