group,1,2,3,4
het_black_female,2002.0,2009.0,2012.0,2015.0
het_black_male,2003.0,2009.0,2012.0,2015.0
het_hisp_female,2002.0,2009.0,2012.0,2014.0
het_hisp_male,2003.0,2009.0,2012.0,2015.0
het_white_female,2001.0,2008.0,2011.0,2015.0
het_white_male,2001.0,2008.0,2011.0,2015.0
idu_black_female,2000.0,2006.0,2010.0,2014.0
idu_black_male,2000.0,2005.0,2009.0,2013.0
idu_hisp_female,2001.35,2007.0,2010.0,2015.0
idu_hisp_male,2001.0,2006.0,2010.0,2014.0
idu_white_female,2001.35,2007.0,2010.0,2015.0
idu_white_male,2001.0,2006.0,2010.0,2014.0
msm_black_male,2003.0,2010.0,2013.0,2015.0
msm_hisp_male,2003.0,2010.0,2012.0,2015.0
msm_white_male,2002.0,2008.0,2011.0,2015.0

0f486d9d01eafbcaf99f7521ccc19c26239ec98a
