group,param,estimate
het_black_female,agecat,0.144302
het_black_female,anx,-0.062313
het_black_female,bmi_raw_post,-0.150031
het_black_female,bmi_raw_post1,0.628206
het_black_female,bmi_raw_post2,-1.40461
het_black_female,ckd,0.094618
het_black_female,dm,0.17978
het_black_female,dpr,0.08266
het_black_female,esld,2.377452
het_black_female,h1yy,-0.012989
het_black_female,hcv,0.451063
het_black_female,ht,-0.097537
het_black_female,intercept,111.639934
het_black_female,lipid,-0.483683
het_black_female,malig,1.562427
het_black_female,mi,1.350521
het_black_female,smoking,0.427763
het_black_female,sqrtcd4n,-0.030728
het_black_female,year,-0.043351
het_black_male,agecat,0.054584
het_black_male,anx,0.923542
het_black_male,bmi_raw_post,-0.229114
het_black_male,bmi_raw_post1,0.670389
het_black_male,bmi_raw_post2,-1.665941
het_black_male,ckd,0.608719
het_black_male,dm,1.334956
het_black_male,dpr,-0.555741
het_black_male,esld,2.410759
het_black_male,h1yy,-0.027983
het_black_male,hcv,0.309934
het_black_male,ht,-0.227148
het_black_male,intercept,43.440565
het_black_male,lipid,0.096405
het_black_male,malig,1.585318
het_black_male,mi,1.503247
het_black_male,smoking,0.616465
het_black_male,sqrtcd4n,-0.018233
het_black_male,year,0.006172
het_hisp_female,agecat,0.144302
het_hisp_female,anx,-0.062313
het_hisp_female,bmi_raw_post,-0.150031
het_hisp_female,bmi_raw_post1,0.628206
het_hisp_female,bmi_raw_post2,-1.40461
het_hisp_female,ckd,0.094618
het_hisp_female,dm,0.17978
het_hisp_female,dpr,0.08266
het_hisp_female,esld,2.377452
het_hisp_female,h1yy,-0.012989
het_hisp_female,hcv,0.451063
het_hisp_female,ht,-0.097537
het_hisp_female,intercept,111.639934
het_hisp_female,lipid,-0.483683
het_hisp_female,malig,1.562427
het_hisp_female,mi,1.350521
het_hisp_female,smoking,0.427763
het_hisp_female,sqrtcd4n,-0.030728
het_hisp_female,year,-0.043351
het_hisp_male,agecat,0.054584
het_hisp_male,anx,0.923542
het_hisp_male,bmi_raw_post,-0.229114
het_hisp_male,bmi_raw_post1,0.670389
het_hisp_male,bmi_raw_post2,-1.665941
het_hisp_male,ckd,0.608719
het_hisp_male,dm,1.334956
het_hisp_male,dpr,-0.555741
het_hisp_male,esld,2.410759
het_hisp_male,h1yy,-0.027983
het_hisp_male,hcv,0.309934
het_hisp_male,ht,-0.227148
het_hisp_male,intercept,43.440565
het_hisp_male,lipid,0.096405
het_hisp_male,malig,1.585318
het_hisp_male,mi,1.503247
het_hisp_male,smoking,0.616465
het_hisp_male,sqrtcd4n,-0.018233
het_hisp_male,year,0.006172
het_white_female,agecat,0.144302
het_white_female,anx,-0.062313
het_white_female,bmi_raw_post,-0.150031
het_white_female,bmi_raw_post1,0.628206
het_white_female,bmi_raw_post2,-1.40461
het_white_female,ckd,0.094618
het_white_female,dm,0.17978
het_white_female,dpr,0.08266
het_white_female,esld,2.377452
het_white_female,h1yy,-0.012989
het_white_female,hcv,0.451063
het_white_female,ht,-0.097537
het_white_female,intercept,111.639934
het_white_female,lipid,-0.483683
het_white_female,malig,1.562427
het_white_female,mi,1.350521
het_white_female,smoking,0.427763
het_white_female,sqrtcd4n,-0.030728
het_white_female,year,-0.043351
het_white_male,agecat,0.054584
het_white_male,anx,0.923542
het_white_male,bmi_raw_post,-0.229114
het_white_male,bmi_raw_post1,0.670389
het_white_male,bmi_raw_post2,-1.665941
het_white_male,ckd,0.608719
het_white_male,dm,1.334956
het_white_male,dpr,-0.555741
het_white_male,esld,2.410759
het_white_male,h1yy,-0.027983
het_white_male,hcv,0.309934
het_white_male,ht,-0.227148
het_white_male,intercept,43.440565
het_white_male,lipid,0.096405
het_white_male,malig,1.585318
het_white_male,mi,1.503247
het_white_male,smoking,0.616465
het_white_male,sqrtcd4n,-0.018233
het_white_male,year,0.006172
idu_black_female,agecat,0.144302
idu_black_female,anx,-0.062313
idu_black_female,bmi_raw_post,-0.150031
idu_black_female,bmi_raw_post1,0.628206
idu_black_female,bmi_raw_post2,-1.40461
idu_black_female,ckd,0.094618
idu_black_female,dm,0.17978
idu_black_female,dpr,0.08266
idu_black_female,esld,2.377452
idu_black_female,h1yy,-0.012989
idu_black_female,hcv,0.451063
idu_black_female,ht,-0.097537
idu_black_female,intercept,111.639934
idu_black_female,lipid,-0.483683
idu_black_female,malig,1.562427
idu_black_female,mi,1.350521
idu_black_female,smoking,0.427763
idu_black_female,sqrtcd4n,-0.030728
idu_black_female,year,-0.043351
idu_black_male,agecat,0.362771
idu_black_male,anx,0.726511
idu_black_male,bmi_raw_post,-0.127983
idu_black_male,bmi_raw_post1,0.339332
idu_black_male,bmi_raw_post2,-0.720979
idu_black_male,ckd,0.738753
idu_black_male,dm,0.20452
idu_black_male,dpr,0.045329
idu_black_male,esld,2.030486
idu_black_male,h1yy,0.018204
idu_black_male,hcv,0.665365
idu_black_male,ht,0.175975
idu_black_male,intercept,292.111867
idu_black_male,lipid,-0.479161
idu_black_male,malig,0.634259
idu_black_male,mi,0.956094
idu_black_male,smoking,-0.012832
idu_black_male,sqrtcd4n,-0.029072
idu_black_male,year,-0.164988
idu_hisp_female,agecat,0.144302
idu_hisp_female,anx,-0.062313
idu_hisp_female,bmi_raw_post,-0.150031
idu_hisp_female,bmi_raw_post1,0.628206
idu_hisp_female,bmi_raw_post2,-1.40461
idu_hisp_female,ckd,0.094618
idu_hisp_female,dm,0.17978
idu_hisp_female,dpr,0.08266
idu_hisp_female,esld,2.377452
idu_hisp_female,h1yy,-0.012989
idu_hisp_female,hcv,0.451063
idu_hisp_female,ht,-0.097537
idu_hisp_female,intercept,111.639934
idu_hisp_female,lipid,-0.483683
idu_hisp_female,malig,1.562427
idu_hisp_female,mi,1.350521
idu_hisp_female,smoking,0.427763
idu_hisp_female,sqrtcd4n,-0.030728
idu_hisp_female,year,-0.043351
idu_hisp_male,agecat,0.362771
idu_hisp_male,anx,0.726511
idu_hisp_male,bmi_raw_post,-0.127983
idu_hisp_male,bmi_raw_post1,0.339332
idu_hisp_male,bmi_raw_post2,-0.720979
idu_hisp_male,ckd,0.738753
idu_hisp_male,dm,0.20452
idu_hisp_male,dpr,0.045329
idu_hisp_male,esld,2.030486
idu_hisp_male,h1yy,0.018204
idu_hisp_male,hcv,0.665365
idu_hisp_male,ht,0.175975
idu_hisp_male,intercept,292.111867
idu_hisp_male,lipid,-0.479161
idu_hisp_male,malig,0.634259
idu_hisp_male,mi,0.956094
idu_hisp_male,smoking,-0.012832
idu_hisp_male,sqrtcd4n,-0.029072
idu_hisp_male,year,-0.164988
idu_white_female,agecat,0.144302
idu_white_female,anx,-0.062313
idu_white_female,bmi_raw_post,-0.150031
idu_white_female,bmi_raw_post1,0.628206
idu_white_female,bmi_raw_post2,-1.40461
idu_white_female,ckd,0.094618
idu_white_female,dm,0.17978
idu_white_female,dpr,0.08266
idu_white_female,esld,2.377452
idu_white_female,h1yy,-0.012989
idu_white_female,hcv,0.451063
idu_white_female,ht,-0.097537
idu_white_female,intercept,111.639934
idu_white_female,lipid,-0.483683
idu_white_female,malig,1.562427
idu_white_female,mi,1.350521
idu_white_female,smoking,0.427763
idu_white_female,sqrtcd4n,-0.030728
idu_white_female,year,-0.043351
idu_white_male,agecat,0.362771
idu_white_male,anx,0.726511
idu_white_male,bmi_raw_post,-0.127983
idu_white_male,bmi_raw_post1,0.339332
idu_white_male,bmi_raw_post2,-0.720979
idu_white_male,ckd,0.738753
idu_white_male,dm,0.20452
idu_white_male,dpr,0.045329
idu_white_male,esld,2.030486
idu_white_male,h1yy,0.018204
idu_white_male,hcv,0.665365
idu_white_male,ht,0.175975
idu_white_male,intercept,292.111867
idu_white_male,lipid,-0.479161
idu_white_male,malig,0.634259
idu_white_male,mi,0.956094
idu_white_male,smoking,-0.012832
idu_white_male,sqrtcd4n,-0.029072
idu_white_male,year,-0.164988
msm_black_male,agecat,0.201926
msm_black_male,anx,0.046028
msm_black_male,bmi_raw_post,-0.227979
msm_black_male,bmi_raw_post1,0.512882
msm_black_male,bmi_raw_post2,-1.093052
msm_black_male,ckd,0.562625
msm_black_male,dm,1.27625
msm_black_male,dpr,0.122343
msm_black_male,esld,1.904849
msm_black_male,h1yy,0.003624
msm_black_male,hcv,0.156264
msm_black_male,ht,-0.095492
msm_black_male,intercept,306.129275
msm_black_male,lipid,-0.372106
msm_black_male,malig,1.340496
msm_black_male,mi,0.898043
msm_black_male,smoking,0.103899
msm_black_male,sqrtcd4n,-0.047501
msm_black_male,year,-0.155847
msm_hisp_male,agecat,0.201926
msm_hisp_male,anx,0.046028
msm_hisp_male,bmi_raw_post,-0.227979
msm_hisp_male,bmi_raw_post1,0.512882
msm_hisp_male,bmi_raw_post2,-1.093052
msm_hisp_male,ckd,0.562625
msm_hisp_male,dm,1.27625
msm_hisp_male,dpr,0.122343
msm_hisp_male,esld,1.904849
msm_hisp_male,h1yy,0.003624
msm_hisp_male,hcv,0.156264
msm_hisp_male,ht,-0.095492
msm_hisp_male,intercept,306.129275
msm_hisp_male,lipid,-0.372106
msm_hisp_male,malig,1.340496
msm_hisp_male,mi,0.898043
msm_hisp_male,smoking,0.103899
msm_hisp_male,sqrtcd4n,-0.047501
msm_hisp_male,year,-0.155847
msm_white_male,agecat,0.201926
msm_white_male,anx,0.046028
msm_white_male,bmi_raw_post,-0.227979
msm_white_male,bmi_raw_post1,0.512882
msm_white_male,bmi_raw_post2,-1.093052
msm_white_male,ckd,0.562625
msm_white_male,dm,1.27625
msm_white_male,dpr,0.122343
msm_white_male,esld,1.904849
msm_white_male,h1yy,0.003624
msm_white_male,hcv,0.156264
msm_white_male,ht,-0.095492
msm_white_male,intercept,306.129275
