group,p5,p35,p65,p95
het_black_female,19.7,25.545780947,30.9,44.25
het_black_male,19.85,24.3,28.1,36.0
het_hisp_female,19.7,25.545780947,30.9,44.25
het_hisp_male,19.85,24.3,28.1,36.0
het_white_female,19.7,25.545780947,30.9,44.25
het_white_male,19.85,24.3,28.1,36.0
idu_black_female,19.7,25.545780947,30.9,44.25
idu_black_male,19.9,23.5,26.6,33.4
idu_hisp_female,19.7,25.545780947,30.9,44.25
idu_hisp_male,19.9,23.5,26.6,33.4
idu_white_female,19.7,25.545780947,30.9,44.25
idu_white_male,19.9,23.5,26.6,33.4
msm_black_male,19.7,23.7,26.840469054,34.696883974
msm_hisp_male,19.7,23.7,26.840469054,34.696883974
msm_white_male,19.7,23.7,26.840469054,34.696883974

dd7c846c1daa9eadedad8b788e43997205bd35d5
