group,param,estimate
het_black_female,agecat,0.301659
het_black_female,anx,-0.035761
het_black_female,bmi_raw_post,-0.120206
het_black_female,bmi_raw_post1,0.523791
het_black_female,bmi_raw_post2,-1.140699
het_black_female,ckd,0.041792
het_black_female,dm,0.181339
het_black_female,dpr,0.13391
het_black_female,esld,2.230335
het_black_female,hcv,0.488399
het_black_female,ht,-0.039222
het_black_female,intercept,28.915581
het_black_female,lipid,-0.193623
het_black_female,malig,1.543844
het_black_female,mi,1.105698
het_black_female,smoking,0.556539
het_black_female,tv_sqrtcd4n,-0.142041
het_black_female,year,-0.0149
het_black_male,agecat,0.132605
het_black_male,anx,1.178682
het_black_male,bmi_raw_post,-0.2008
het_black_male,bmi_raw_post1,0.657045
het_black_male,bmi_raw_post2,-1.669454
het_black_male,ckd,0.564353
het_black_male,dm,1.074843
het_black_male,dpr,-0.465932
het_black_male,esld,2.045388
het_black_male,hcv,0.388632
het_black_male,ht,-0.166201
het_black_male,intercept,-17.663
het_black_male,lipid,0.400032
het_black_male,malig,1.502429
het_black_male,mi,1.669807
het_black_male,smoking,0.665267
het_black_male,tv_sqrtcd4n,-0.10318
het_black_male,year,0.008857
het_hisp_female,agecat,0.301659
het_hisp_female,anx,-0.035761
het_hisp_female,bmi_raw_post,-0.120206
het_hisp_female,bmi_raw_post1,0.523791
het_hisp_female,bmi_raw_post2,-1.140699
het_hisp_female,ckd,0.041792
het_hisp_female,dm,0.181339
het_hisp_female,dpr,0.13391
het_hisp_female,esld,2.230335
het_hisp_female,hcv,0.488399
het_hisp_female,ht,-0.039222
het_hisp_female,intercept,28.915581
het_hisp_female,lipid,-0.193623
het_hisp_female,malig,1.543844
het_hisp_female,mi,1.105698
het_hisp_female,smoking,0.556539
het_hisp_female,tv_sqrtcd4n,-0.142041
het_hisp_female,year,-0.0149
het_hisp_male,agecat,0.132605
het_hisp_male,anx,1.178682
het_hisp_male,bmi_raw_post,-0.2008
het_hisp_male,bmi_raw_post1,0.657045
het_hisp_male,bmi_raw_post2,-1.669454
het_hisp_male,ckd,0.564353
het_hisp_male,dm,1.074843
het_hisp_male,dpr,-0.465932
het_hisp_male,esld,2.045388
het_hisp_male,hcv,0.388632
het_hisp_male,ht,-0.166201
het_hisp_male,intercept,-17.663
het_hisp_male,lipid,0.400032
het_hisp_male,malig,1.502429
het_hisp_male,mi,1.669807
het_hisp_male,smoking,0.665267
het_hisp_male,tv_sqrtcd4n,-0.10318
het_hisp_male,year,0.008857
het_white_female,agecat,0.301659
het_white_female,anx,-0.035761
het_white_female,bmi_raw_post,-0.120206
het_white_female,bmi_raw_post1,0.523791
het_white_female,bmi_raw_post2,-1.140699
het_white_female,ckd,0.041792
het_white_female,dm,0.181339
het_white_female,dpr,0.13391
het_white_female,esld,2.230335
het_white_female,hcv,0.488399
het_white_female,ht,-0.039222
het_white_female,intercept,28.915581
het_white_female,lipid,-0.193623
het_white_female,malig,1.543844
het_white_female,mi,1.105698
het_white_female,smoking,0.556539
het_white_female,tv_sqrtcd4n,-0.142041
het_white_female,year,-0.0149
het_white_male,agecat,0.132605
het_white_male,anx,1.178682
het_white_male,bmi_raw_post,-0.2008
het_white_male,bmi_raw_post1,0.657045
het_white_male,bmi_raw_post2,-1.669454
het_white_male,ckd,0.564353
het_white_male,dm,1.074843
het_white_male,dpr,-0.465932
het_white_male,esld,2.045388
het_white_male,hcv,0.388632
het_white_male,ht,-0.166201
het_white_male,intercept,-17.663
het_white_male,lipid,0.400032
het_white_male,malig,1.502429
het_white_male,mi,1.669807
het_white_male,smoking,0.665267
het_white_male,tv_sqrtcd4n,-0.10318
het_white_male,year,0.008857
idu_black_female,agecat,0.301659
idu_black_female,anx,-0.035761
idu_black_female,bmi_raw_post,-0.120206
idu_black_female,bmi_raw_post1,0.523791
idu_black_female,bmi_raw_post2,-1.140699
idu_black_female,ckd,0.041792
idu_black_female,dm,0.181339
idu_black_female,dpr,0.13391
idu_black_female,esld,2.230335
idu_black_female,hcv,0.488399
idu_black_female,ht,-0.039222
idu_black_female,intercept,28.915581
idu_black_female,lipid,-0.193623
idu_black_female,malig,1.543844
idu_black_female,mi,1.105698
idu_black_female,smoking,0.556539
idu_black_female,tv_sqrtcd4n,-0.142041
idu_black_female,year,-0.0149
idu_black_male,agecat,0.404338
idu_black_male,anx,0.902559
idu_black_male,bmi_raw_post,-0.072692
idu_black_male,bmi_raw_post1,0.173682
idu_black_male,bmi_raw_post2,-0.33617
idu_black_male,ckd,0.691254
idu_black_male,dm,0.077004
idu_black_male,dpr,-0.019651
idu_black_male,esld,2.027094
idu_black_male,hcv,0.592872
idu_black_male,ht,0.125151
idu_black_male,intercept,234.71732
idu_black_male,lipid,-0.111309
idu_black_male,malig,0.549254
idu_black_male,mi,0.905578
idu_black_male,smoking,0.012947
idu_black_male,tv_sqrtcd4n,-0.110699
idu_black_male,year,-0.118205
idu_hisp_female,agecat,0.301659
idu_hisp_female,anx,-0.035761
idu_hisp_female,bmi_raw_post,-0.120206
idu_hisp_female,bmi_raw_post1,0.523791
idu_hisp_female,bmi_raw_post2,-1.140699
idu_hisp_female,ckd,0.041792
idu_hisp_female,dm,0.181339
idu_hisp_female,dpr,0.13391
idu_hisp_female,esld,2.230335
idu_hisp_female,hcv,0.488399
idu_hisp_female,ht,-0.039222
idu_hisp_female,intercept,28.915581
idu_hisp_female,lipid,-0.193623
idu_hisp_female,malig,1.543844
idu_hisp_female,mi,1.105698
idu_hisp_female,smoking,0.556539
idu_hisp_female,tv_sqrtcd4n,-0.142041
idu_hisp_female,year,-0.0149
