group,param,estimate
het_black_female,age,-0.006735
het_black_female,cd4n_entry,-0.000142
het_black_female,dpr,1.050211
het_black_female,h1yy_time,-0.055087
het_black_female,hcv,0.219265
het_black_female,intercept,-191.374519
het_black_female,smoking,0.260733
het_black_female,year,0.093115
het_black_male,age,-0.008843
het_black_male,cd4n_entry,0.000328
het_black_male,dpr,1.296823
het_black_male,h1yy_time,-0.078998
het_black_male,hcv,0.362199
het_black_male,intercept,49.003705
het_black_male,smoking,0.201028
het_black_male,year,-0.026449
het_hisp_female,age,-0.02257
het_hisp_female,cd4n_entry,-0.000138
het_hisp_female,dpr,1.247836
het_hisp_female,h1yy_time,-0.123448
het_hisp_female,hcv,0.801139
het_hisp_female,intercept,-393.427724
het_hisp_female,smoking,0.074389
het_hisp_female,year,0.194278
het_hisp_male,age,-0.016052
het_hisp_male,cd4n_entry,0.000394
het_hisp_male,dpr,1.466773
het_hisp_male,h1yy_time,-0.090734
het_hisp_male,hcv,0.466946
het_hisp_male,intercept,-205.400896
het_hisp_male,smoking,0.535764
het_hisp_male,year,0.100231
het_white_female,age,-8.9526e-05
het_white_female,cd4n_entry,-0.000375
het_white_female,dpr,1.142749
het_white_female,h1yy_time,-0.109233
het_white_female,hcv,0.352722
het_white_female,intercept,-80.583627
het_white_female,smoking,0.361015
het_white_female,year,0.038486
het_white_male,age,-0.016052
het_white_male,cd4n_entry,0.000394
het_white_male,dpr,1.466773
het_white_male,h1yy_time,-0.090734
het_white_male,hcv,0.466946
het_white_male,intercept,-205.400896
het_white_male,smoking,0.535764
het_white_male,year,0.100231
idu_black_female,age,-0.012636
idu_black_female,cd4n_entry,-0.000327
idu_black_female,dpr,0.205883
idu_black_female,h1yy_time,-0.052212
idu_black_female,hcv,-0.118447
idu_black_female,intercept,-90.413226
idu_black_female,smoking,0.355611
idu_black_female,year,0.043655
idu_black_male,age,-0.046286
idu_black_male,cd4n_entry,0.000417
idu_black_male,dpr,0.545896
idu_black_male,h1yy_time,-0.009703
idu_black_male,hcv,0.100651
idu_black_male,intercept,-128.250032
idu_black_male,smoking,-0.030438
idu_black_male,year,0.063005
idu_hisp_female,age,-0.033954
idu_hisp_female,cd4n_entry,-0.000228
idu_hisp_female,dpr,0.497416
idu_hisp_female,h1yy_time,-0.075575
idu_hisp_female,hcv,-0.032323
idu_hisp_female,intercept,-115.630008
idu_hisp_female,smoking,0.354499
idu_hisp_female,year,0.05691
idu_hisp_male,age,-0.030575
idu_hisp_male,cd4n_entry,0.000865
idu_hisp_male,dpr,1.057656
idu_hisp_male,h1yy_time,-0.016165
idu_hisp_male,hcv,0.053242
idu_hisp_male,intercept,-275.683123
idu_hisp_male,smoking,0.037508
idu_hisp_male,year,0.135936
idu_white_female,age,-0.033954
idu_white_female,cd4n_entry,-0.000228
idu_white_female,dpr,0.497416
idu_white_female,h1yy_time,-0.075575
idu_white_female,hcv,-0.032323
idu_white_female,intercept,-115.630008
idu_white_female,smoking,0.354499
idu_white_female,year,0.05691
idu_white_male,age,-0.024392
idu_white_male,cd4n_entry,0.000535
idu_white_male,dpr,0.467091
idu_white_male,h1yy_time,-0.034782
idu_white_male,hcv,0.224176
idu_white_male,intercept,-112.646275
idu_white_male,smoking,0.132131
idu_white_male,year,0.054923
msm_black_male,age,-0.014579
msm_black_male,cd4n_entry,0.000348
msm_black_male,dpr,1.083028
msm_black_male,h1yy_time,-0.045795
msm_black_male,hcv,0.264073
msm_black_male,intercept,-1.155215
msm_black_male,smoking,0.265236
msm_black_male,year,-0.001296
msm_hisp_male,age,-0.006271
msm_hisp_male,cd4n_entry,0.000533
msm_hisp_male,dpr,1.174781
msm_hisp_male,h1yy_time,-0.069909
msm_hisp_male,hcv,0.268856
msm_hisp_male,intercept,-64.620131
msm_hisp_male,smoking,0.15753
msm_hisp_male,year,0.030625
msm_white_male,age,-0.015983
msm_white_male,cd4n_entry,0.000403
msm_white_male,dpr,0.982978
msm_white_male,h1yy_time,-0.040925
msm_white_male,hcv,0.122389
msm_white_male,intercept,-18.616779
msm_white_male,smoking,0.285477
msm_white_male,year,0.007835

e13ebd96fa7251754e10fa756597f139450e0f74
