group,param,estimate
het_black_female,age,0.075986
het_black_female,anx,-0.153022
het_black_female,bmi_dif1,0.035589
het_black_female,bmi_dif2,-0.065816
het_black_female,bmi_diff,0.06476
het_black_female,bmi_raw_post,-0.011343
het_black_female,bmi_raw_post1,-0.135243
het_black_female,bmi_raw_post2,0.393758
het_black_female,cd4n_entry,0.000875
het_black_female,dm,0.358905
het_black_female,dpr,0.167962
het_black_female,h1yy_time,-0.063409
het_black_female,hcv,0.125771
het_black_female,ht,0.578155
het_black_female,intercept,39.075103
het_black_female,lipid,0.591934
het_black_female,smoking,0.681289
het_black_female,year,-0.0236
het_black_male,age,0.055375
het_black_male,anx,0.036113
het_black_male,bmi_dif1,-0.003023
het_black_male,bmi_dif2,0.311115
het_black_male,bmi_diff,-0.064041
het_black_male,bmi_raw_post,0.074708
het_black_male,bmi_raw_post1,-0.130191
het_black_male,bmi_raw_post2,0.209012
het_black_male,cd4n_entry,-0.00082
het_black_male,dm,0.136475
het_black_male,dpr,0.286481
het_black_male,h1yy_time,-0.061706
het_black_male,hcv,0.133919
het_black_male,ht,0.892849
het_black_male,intercept,-198.807223
het_black_male,lipid,0.151763
het_black_male,smoking,0.020853
het_black_male,year,0.094351
het_hisp_female,age,0.061669
het_hisp_female,anx,0.512027
het_hisp_female,bmi_dif1,0.244525
het_hisp_female,bmi_dif2,-0.366981
het_hisp_female,bmi_diff,-0.195606
het_hisp_female,bmi_raw_post,-0.051795
het_hisp_female,bmi_raw_post1,0.340243
het_hisp_female,bmi_raw_post2,-0.735475
het_hisp_female,cd4n_entry,-0.001237
het_hisp_female,dm,0.085395
het_hisp_female,dpr,-0.046505
het_hisp_female,h1yy_time,0.014054
het_hisp_female,hcv,-0.116568
het_hisp_female,ht,0.099519
het_hisp_female,intercept,-109.011535
het_hisp_female,lipid,0.691486
het_hisp_female,smoking,0.192275
het_hisp_female,year,0.050836
het_hisp_male,age,0.055375
het_hisp_male,anx,0.036113
het_hisp_male,bmi_dif1,-0.003023
het_hisp_male,bmi_dif2,0.311115
het_hisp_male,bmi_diff,-0.064041
het_hisp_male,bmi_raw_post,0.074708
het_hisp_male,bmi_raw_post1,-0.130191
het_hisp_male,bmi_raw_post2,0.209012
het_hisp_male,cd4n_entry,-0.00082
het_hisp_male,dm,0.136475
het_hisp_male,dpr,0.286481
het_hisp_male,h1yy_time,-0.061706
het_hisp_male,hcv,0.133919
het_hisp_male,ht,0.892849
het_hisp_male,intercept,-198.807223
het_hisp_male,lipid,0.151763
het_hisp_male,smoking,0.020853
het_hisp_male,year,0.094351
het_white_female,age,0.061669
het_white_female,anx,0.512027
het_white_female,bmi_dif1,0.244525
het_white_female,bmi_dif2,-0.366981
het_white_female,bmi_diff,-0.195606
het_white_female,bmi_raw_post,-0.051795
het_white_female,bmi_raw_post1,0.340243
het_white_female,bmi_raw_post2,-0.735475
het_white_female,cd4n_entry,-0.001237
het_white_female,dm,0.085395
het_white_female,dpr,-0.046505
het_white_female,h1yy_time,0.014054
het_white_female,hcv,-0.116568
het_white_female,ht,0.099519
het_white_female,intercept,-109.011535
het_white_female,lipid,0.691486
het_white_female,smoking,0.192275
het_white_female,year,0.050836
het_white_male,age,0.055375
het_white_male,anx,0.036113
het_white_male,bmi_dif1,-0.003023
het_white_male,bmi_dif2,0.311115
het_white_male,bmi_diff,-0.064041
het_white_male,bmi_raw_post,0.074708
het_white_male,bmi_raw_post1,-0.130191
het_white_male,bmi_raw_post2,0.209012
het_white_male,cd4n_entry,-0.00082
het_white_male,dm,0.136475
het_white_male,dpr,0.286481
het_white_male,h1yy_time,-0.061706
het_white_male,hcv,0.133919
het_white_male,ht,0.892849
het_white_male,intercept,-198.807223
het_white_male,lipid,0.151763
het_white_male,smoking,0.020853
het_white_male,year,0.094351
idu_black_female,age,0.059108
idu_black_female,anx,0.222211
idu_black_female,bmi_dif1,1.517776
idu_black_female,bmi_dif2,-5.480088
idu_black_female,bmi_diff,-0.36642
idu_black_female,bmi_raw_post,-0.121
idu_black_female,bmi_raw_post1,0.372438
idu_black_female,bmi_raw_post2,-0.953891
idu_black_female,cd4n_entry,-0.001258
idu_black_female,dm,0.09426
idu_black_female,dpr,-0.452128
idu_black_female,h1yy_time,0.003671
idu_black_female,hcv,0.027956
idu_black_female,ht,0.853538
idu_black_female,intercept,-27.08876
idu_black_female,lipid,-0.031004
idu_black_female,smoking,-0.657685
idu_black_female,year,0.01157
idu_black_male,age,0.043503
idu_black_male,anx,-0.144697
idu_black_male,bmi_dif1,0.358476
idu_black_male,bmi_dif2,-1.560413
idu_black_male,bmi_diff,-0.074765
idu_black_male,bmi_raw_post,0.066121
idu_black_male,bmi_raw_post1,-0.181965
idu_black_male,bmi_raw_post2,0.452837
idu_black_male,cd4n_entry,-0.000162
idu_black_male,dm,0.1987
idu_black_male,dpr,-0.095371
idu_black_male,h1yy_time,-0.037142
idu_black_male,hcv,0.24272
idu_black_male,ht,0.536961
idu_black_male,intercept,13.30753
idu_black_male,lipid,0.038182
idu_black_male,smoking,-0.211773
idu_black_male,year,-0.010327
idu_hisp_female,age,0.059108
idu_hisp_female,anx,0.222211
idu_hisp_female,bmi_dif1,1.517776
idu_hisp_female,bmi_dif2,-5.480088
idu_hisp_female,bmi_diff,-0.36642
idu_hisp_female,bmi_raw_post,-0.121
idu_hisp_female,bmi_raw_post1,0.372438
idu_hisp_female,bmi_raw_post2,-0.953891
idu_hisp_female,cd4n_entry,-0.001258
idu_hisp_female,dm,0.09426
idu_hisp_female,dpr,-0.452128
idu_hisp_female,h1yy_time,0.003671
idu_hisp_female,hcv,0.027956
idu_hisp_female,ht,0.853538
idu_hisp_female,intercept,-27.08876
idu_hisp_female,lipid,-0.031004
idu_hisp_female,smoking,-0.657685
idu_hisp_female,year,0.01157
idu_hisp_male,age,0.056537
idu_hisp_male,anx,-0.107459
idu_hisp_male,bmi_dif1,0.200361
idu_hisp_male,bmi_dif2,-0.611447
idu_hisp_male,bmi_diff,-0.088417
idu_hisp_male,bmi_raw_post,-0.01086
idu_hisp_male,bmi_raw_post1,-0.071328
idu_hisp_male,bmi_raw_post2,0.203562
idu_hisp_male,cd4n_entry,1.131e-05
idu_hisp_male,dm,0.303467
idu_hisp_male,dpr,-0.149257
idu_hisp_male,h1yy_time,-0.046664
idu_hisp_male,hcv,-0.030906
idu_hisp_male,ht,0.636953
idu_hisp_male,intercept,-197.59649
idu_hisp_male,lipid,-0.040815
idu_hisp_male,smoking,-0.194268
idu_hisp_male,year,0.094926
idu_white_female,age,0.059108
idu_white_female,anx,0.222211
idu_white_female,bmi_dif1,1.517776
idu_white_female,bmi_dif2,-5.480088
idu_white_female,bmi_diff,-0.36642
idu_white_female,bmi_raw_post,-0.121
idu_white_female,bmi_raw_post1,0.372438
idu_white_female,bmi_raw_post2,-0.953891
idu_white_female,cd4n_entry,-0.001258
idu_white_female,dm,0.09426
idu_white_female,dpr,-0.452128
idu_white_female,h1yy_time,0.003671
idu_white_female,hcv,0.027956
idu_white_female,ht,0.853538
idu_white_female,intercept,-27.08876
idu_white_female,lipid,-0.031004
idu_white_female,smoking,-0.657685
idu_white_female,year,0.01157
idu_white_male,age,0.056537
idu_white_male,anx,-0.107459
idu_white_male,bmi_dif1,0.200361
idu_white_male,bmi_dif2,-0.611447
idu_white_male,bmi_diff,-0.088417
idu_white_male,bmi_raw_post,-0.01086
idu_white_male,bmi_raw_post1,-0.071328
idu_white_male,bmi_raw_post2,0.203562
idu_white_male,cd4n_entry,1.131e-05
idu_white_male,dm,0.303467
idu_white_male,dpr,-0.149257
idu_white_male,h1yy_time,-0.046664
idu_white_male,hcv,-0.030906
idu_white_male,ht,0.636953
idu_white_male,intercept,-197.59649
idu_white_male,lipid,-0.040815
idu_white_male,smoking,-0.194268
idu_white_male,year,0.094926
msm_black_male,age,0.077369
msm_black_male,anx,-0.030931
msm_black_male,bmi_dif1,-1.654363
msm_black_male,bmi_dif2,4.933186
msm_black_male,bmi_diff,0.443476
msm_black_male,bmi_raw_post,0.154445
msm_black_male,bmi_raw_post1,-0.643456
msm_black_male,bmi_raw_post2,1.644582
msm_black_male,cd4n_entry,-0.000738
msm_black_male,dm,-0.298033
msm_black_male,dpr,-0.093639
msm_black_male,h1yy_time,-0.108667
msm_black_male,hcv,0.168576
msm_black_male,ht,1.152835
msm_black_male,intercept,-307.920885
msm_black_male,lipid,0.259269
msm_black_male,smoking,-0.50708
msm_black_male,year,0.147915
msm_hisp_male,age,0.07939
msm_hisp_male,anx,0.029498
msm_hisp_male,bmi_dif1,0.610088
msm_hisp_male,bmi_dif2,-1.839376
msm_hisp_male,bmi_diff,-0.093482
msm_hisp_male,bmi_raw_post,-0.036236
msm_hisp_male,bmi_raw_post1,-0.174933
msm_hisp_male,bmi_raw_post2,0.636609
msm_hisp_male,cd4n_entry,-0.000173
msm_hisp_male,dm,0.119963
msm_hisp_male,dpr,0.106484
msm_hisp_male,h1yy_time,-0.046509
msm_hisp_male,hcv,-0.007927
msm_hisp_male,ht,0.612292
msm_hisp_male,intercept,-71.538138
msm_hisp_male,lipid,0.418133
msm_hisp_male,smoking,-0.201742
msm_hisp_male,year,0.03175
msm_white_male,age,0.07939
msm_white_male,anx,0.029498
msm_white_male,bmi_dif1,0.610088
msm_white_male,bmi_dif2,-1.839376
msm_white_male,bmi_diff,-0.093482
msm_white_male,bmi_raw_post,-0.036236
msm_white_male,bmi_raw_post1,-0.174933
msm_white_male,bmi_raw_post2,0.636609
msm_white_male,cd4n_entry,-0.000173
msm_white_male,dm,0.119963
msm_white_male,dpr,0.106484
msm_white_male,h1yy_time,-0.046509
msm_white_male,hcv,-0.007927
msm_white_male,ht,0.612292
msm_white_male,intercept,-71.538138
msm_white_male,lipid,0.418133
msm_white_male,smoking,-0.201742
msm_white_male,year,0.03175

e765288baa567cbbfe275e8a53eecf9e019382e7
