group,p5,p35,p65,p95
het_black_female,-2.8,0.4,2.45,8.2
het_black_male,-2.0,0.45,2.2,6.6
het_hisp_female,-3.85,0.05,2.0,7.2
het_hisp_male,-2.0,0.45,2.2,6.6
het_white_female,-3.85,0.05,2.0,7.2
het_white_male,-2.0,0.45,2.2,6.6
idu_black_female,-3.65,-0.25,2.05,7.5
idu_black_male,-2.9,-0.3,1.15,4.6
idu_hisp_female,-3.65,-0.25,2.05,7.5
idu_hisp_male,-2.7,-0.15,1.25,5.0
idu_white_female,-3.65,-0.25,2.05,7.5
idu_white_male,-2.7,-0.15,1.25,5.0
msm_black_male,-2.2,0.2,1.65,6.1
msm_hisp_male,-1.8,0.1,1.3,4.65
msm_white_male,-1.8,0.1,1.3,4.65

e765288baa567cbbfe275e8a53eecf9e019382e7
