group,param,estimate
het_black_female,age,-0.002614
het_black_female,anx,-0.109468
het_black_female,bmi_dif1,0.381034
het_black_female,bmi_dif2,-1.459085
het_black_female,bmi_diff,-0.072044
het_black_female,bmi_raw_post,0.048688
het_black_female,bmi_raw_post1,0.035854
het_black_female,bmi_raw_post2,-0.100449
het_black_female,cd4n_entry,-0.001004
het_black_female,ckd,0.444429
het_black_female,dpr,-0.002597
het_black_female,h1yy_time,-0.044288
het_black_female,hcv,0.274737
het_black_female,ht,0.613806
het_black_female,intercept,-157.780229
het_black_female,lipid,0.419848
het_black_female,smoking,0.166563
het_black_female,year,0.075453
het_black_male,age,-0.001135
het_black_male,anx,0.267353
het_black_male,bmi_dif1,0.643094
het_black_male,bmi_dif2,-1.821312
het_black_male,bmi_diff,-0.134771
het_black_male,bmi_raw_post,-0.073114
het_black_male,bmi_raw_post1,0.552158
het_black_male,bmi_raw_post2,-1.383484
het_black_male,cd4n_entry,-5.8874e-05
het_black_male,ckd,0.674747
het_black_male,dpr,0.117918
het_black_male,h1yy_time,-0.035105
het_black_male,hcv,0.005504
het_black_male,ht,0.598359
het_black_male,intercept,-134.076019
het_black_male,lipid,0.60723
het_black_male,smoking,0.025263
het_black_male,year,0.064744
het_hisp_female,age,-0.002614
het_hisp_female,anx,-0.109468
het_hisp_female,bmi_dif1,0.381034
het_hisp_female,bmi_dif2,-1.459085
het_hisp_female,bmi_diff,-0.072044
het_hisp_female,bmi_raw_post,0.048688
het_hisp_female,bmi_raw_post1,0.035854
het_hisp_female,bmi_raw_post2,-0.100449
het_hisp_female,cd4n_entry,-0.001004
het_hisp_female,ckd,0.444429
het_hisp_female,dpr,-0.002597
het_hisp_female,h1yy_time,-0.044288
het_hisp_female,hcv,0.274737
het_hisp_female,ht,0.613806
het_hisp_female,intercept,-157.780229
het_hisp_female,lipid,0.419848
het_hisp_female,smoking,0.166563
het_hisp_female,year,0.075453
het_hisp_male,age,-0.001135
het_hisp_male,anx,0.267353
het_hisp_male,bmi_dif1,0.643094
het_hisp_male,bmi_dif2,-1.821312
het_hisp_male,bmi_diff,-0.134771
het_hisp_male,bmi_raw_post,-0.073114
het_hisp_male,bmi_raw_post1,0.552158
het_hisp_male,bmi_raw_post2,-1.383484
het_hisp_male,cd4n_entry,-5.8874e-05
het_hisp_male,ckd,0.674747
het_hisp_male,dpr,0.117918
het_hisp_male,h1yy_time,-0.035105
het_hisp_male,hcv,0.005504
het_hisp_male,ht,0.598359
het_hisp_male,intercept,-134.076019
het_hisp_male,lipid,0.60723
het_hisp_male,smoking,0.025263
het_hisp_male,year,0.064744
het_white_female,age,-0.002614
het_white_female,anx,-0.109468
het_white_female,bmi_dif1,0.381034
het_white_female,bmi_dif2,-1.459085
het_white_female,bmi_diff,-0.072044
het_white_female,bmi_raw_post,0.048688
het_white_female,bmi_raw_post1,0.035854
het_white_female,bmi_raw_post2,-0.100449
het_white_female,cd4n_entry,-0.001004
het_white_female,ckd,0.444429
het_white_female,dpr,-0.002597
het_white_female,h1yy_time,-0.044288
het_white_female,hcv,0.274737
het_white_female,ht,0.613806
het_white_female,intercept,-157.780229
het_white_female,lipid,0.419848
het_white_female,smoking,0.166563
het_white_female,year,0.075453
het_white_male,age,-0.001135
het_white_male,anx,0.267353
het_white_male,bmi_dif1,0.643094
het_white_male,bmi_dif2,-1.821312
het_white_male,bmi_diff,-0.134771
het_white_male,bmi_raw_post,-0.073114
het_white_male,bmi_raw_post1,0.552158
het_white_male,bmi_raw_post2,-1.383484
het_white_male,cd4n_entry,-5.8874e-05
het_white_male,ckd,0.674747
het_white_male,dpr,0.117918
het_white_male,h1yy_time,-0.035105
het_white_male,hcv,0.005504
het_white_male,ht,0.598359
het_white_male,intercept,-134.076019
het_white_male,lipid,0.60723
het_white_male,smoking,0.025263
het_white_male,year,0.064744
idu_black_female,age,-0.002614
idu_black_female,anx,-0.109468
idu_black_female,bmi_dif1,0.381034
idu_black_female,bmi_dif2,-1.459085
idu_black_female,bmi_diff,-0.072044
idu_black_female,bmi_raw_post,0.048688
idu_black_female,bmi_raw_post1,0.035854
idu_black_female,bmi_raw_post2,-0.100449
idu_black_female,cd4n_entry,-0.001004
idu_black_female,ckd,0.444429
idu_black_female,dpr,-0.002597
idu_black_female,h1yy_time,-0.044288
idu_black_female,hcv,0.274737
idu_black_female,ht,0.613806
idu_black_female,intercept,-157.780229
idu_black_female,lipid,0.419848
idu_black_female,smoking,0.166563
idu_black_female,year,0.075453
idu_black_male,age,0.010093
idu_black_male,anx,0.347587
idu_black_male,bmi_dif1,0.556107
idu_black_male,bmi_dif2,-2.268354
idu_black_male,bmi_diff,-0.090418
idu_black_male,bmi_raw_post,-0.187526
idu_black_male,bmi_raw_post1,1.500276
idu_black_male,bmi_raw_post2,-4.417777
idu_black_male,cd4n_entry,0.000167
idu_black_male,ckd,0.17693
idu_black_male,dpr,0.033149
idu_black_male,h1yy_time,-0.001627
idu_black_male,hcv,0.246827
idu_black_male,ht,0.712483
idu_black_male,intercept,5.180296
idu_black_male,lipid,0.393938
idu_black_male,smoking,0.417532
idu_black_male,year,-0.004017
idu_hisp_female,age,-0.002614
idu_hisp_female,anx,-0.109468
idu_hisp_female,bmi_dif1,0.381034
idu_hisp_female,bmi_dif2,-1.459085
idu_hisp_female,bmi_diff,-0.072044
idu_hisp_female,bmi_raw_post,0.048688
idu_hisp_female,bmi_raw_post1,0.035854
idu_hisp_female,bmi_raw_post2,-0.100449
idu_hisp_female,cd4n_entry,-0.001004
idu_hisp_female,ckd,0.444429
idu_hisp_female,dpr,-0.002597
idu_hisp_female,h1yy_time,-0.044288
idu_hisp_female,hcv,0.274737
idu_hisp_female,ht,0.613806
idu_hisp_female,intercept,-157.780229
idu_hisp_female,lipid,0.419848
idu_hisp_female,smoking,0.166563
idu_hisp_female,year,0.075453
idu_hisp_male,age,0.040108
idu_hisp_male,anx,0.127023
idu_hisp_male,bmi_dif1,0.117788
idu_hisp_male,bmi_dif2,-0.56919
idu_hisp_male,bmi_diff,-0.05831
idu_hisp_male,bmi_raw_post,-0.000837
idu_hisp_male,bmi_raw_post1,0.038138
idu_hisp_male,bmi_raw_post2,0.208342
idu_hisp_male,cd4n_entry,-0.000457
idu_hisp_male,ckd,0.315217
idu_hisp_male,dpr,0.162507
idu_hisp_male,h1yy_time,0.013301
idu_hisp_male,hcv,0.501125
idu_hisp_male,ht,0.704787
idu_hisp_male,intercept,6.731882
idu_hisp_male,lipid,0.502725
idu_hisp_male,smoking,0.251859
idu_hisp_male,year,-0.007194
idu_white_female,age,-0.002614
idu_white_female,anx,-0.109468
idu_white_female,bmi_dif1,0.381034
idu_white_female,bmi_dif2,-1.459085
idu_white_female,bmi_diff,-0.072044
idu_white_female,bmi_raw_post,0.048688
idu_white_female,bmi_raw_post1,0.035854
idu_white_female,bmi_raw_post2,-0.100449
idu_white_female,cd4n_entry,-0.001004
idu_white_female,ckd,0.444429
idu_white_female,dpr,-0.002597
idu_white_female,h1yy_time,-0.044288
idu_white_female,hcv,0.274737
idu_white_female,ht,0.613806
idu_white_female,intercept,-157.780229
idu_white_female,lipid,0.419848
idu_white_female,smoking,0.166563
idu_white_female,year,0.075453
idu_white_male,age,0.040108
idu_white_male,anx,0.127023
idu_white_male,bmi_dif1,0.117788
idu_white_male,bmi_dif2,-0.56919
idu_white_male,bmi_diff,-0.05831
idu_white_male,bmi_raw_post,-0.000837
idu_white_male,bmi_raw_post1,0.038138
idu_white_male,bmi_raw_post2,0.208342
idu_white_male,cd4n_entry,-0.000457
idu_white_male,ckd,0.315217
idu_white_male,dpr,0.162507
idu_white_male,h1yy_time,0.013301
idu_white_male,hcv,0.501125
idu_white_male,ht,0.704787
idu_white_male,intercept,6.731882
idu_white_male,lipid,0.502725
idu_white_male,smoking,0.251859
idu_white_male,year,-0.007194
msm_black_male,age,0.028467
msm_black_male,anx,0.528108
msm_black_male,bmi_dif1,0.164884
msm_black_male,bmi_dif2,-0.40193
msm_black_male,bmi_diff,-0.065102
msm_black_male,bmi_raw_post,-0.018471
msm_black_male,bmi_raw_post1,0.39304
msm_black_male,bmi_raw_post2,-0.966238
msm_black_male,cd4n_entry,-0.000865
msm_black_male,ckd,-0.119557
msm_black_male,dpr,0.037039
msm_black_male,h1yy_time,-0.017307
msm_black_male,hcv,0.608597
msm_black_male,ht,1.067524
msm_black_male,intercept,-139.139173
msm_black_male,lipid,0.575818
msm_black_male,smoking,-0.057254
msm_black_male,year,0.065956
msm_hisp_male,age,0.02625
msm_hisp_male,anx,0.126201
msm_hisp_male,bmi_dif1,0.087665
msm_hisp_male,bmi_dif2,-0.242074
msm_hisp_male,bmi_diff,0.063742
msm_hisp_male,bmi_raw_post,-0.123379
msm_hisp_male,bmi_raw_post1,0.614972
msm_hisp_male,bmi_raw_post2,-1.513825
msm_hisp_male,cd4n_entry,0.00078
msm_hisp_male,ckd,-0.144183
msm_hisp_male,dpr,-0.034122
msm_hisp_male,h1yy_time,0.027178
msm_hisp_male,hcv,0.65776
msm_hisp_male,ht,0.749862
msm_hisp_male,intercept,-30.434557
msm_hisp_male,lipid,0.620711
msm_hisp_male,smoking,0.380712
msm_hisp_male,year,0.012543
msm_white_male,age,0.02625
msm_white_male,anx,0.126201
msm_white_male,bmi_dif1,0.087665
msm_white_male,bmi_dif2,-0.242074
msm_white_male,bmi_diff,0.063742
msm_white_male,bmi_raw_post,-0.123379
msm_white_male,bmi_raw_post1,0.614972
msm_white_male,bmi_raw_post2,-1.513825
msm_white_male,cd4n_entry,0.00078
msm_white_male,ckd,-0.144183
msm_white_male,dpr,-0.034122
msm_white_male,h1yy_time,0.027178
msm_white_male,hcv,0.65776
msm_white_male,ht,0.749862
msm_white_male,intercept,-30.434557
msm_white_male,lipid,0.620711
msm_white_male,smoking,0.380712
msm_white_male,year,0.012543

e765288baa567cbbfe275e8a53eecf9e019382e7
