group,p5,p35,p65,p95
het_black_female,-3.35,0.25,2.3,8.0
het_black_male,-2.1,0.4,2.1,6.5
het_hisp_female,-3.35,0.25,2.3,8.0
het_hisp_male,-2.1,0.4,2.1,6.5
het_white_female,-3.35,0.25,2.3,8.0
het_white_male,-2.1,0.4,2.1,6.5
idu_black_female,-3.35,0.25,2.3,8.0
idu_black_male,-2.9,-0.3,1.1,4.4
idu_hisp_female,-3.35,0.25,2.3,8.0
idu_hisp_male,-2.7,-0.2,1.2,4.95
idu_white_female,-3.35,0.25,2.3,8.0
idu_white_male,-2.7,-0.2,1.2,4.95
msm_black_male,-2.1,0.2,1.65,6.0
msm_hisp_male,-1.8,0.1,1.25,4.55
msm_white_male,-1.8,0.1,1.25,4.55

e765288baa567cbbfe275e8a53eecf9e019382e7
