group,p5,p35,p65,p95
het_black_female,19.35,25.0,30.2,43.4
het_black_male,20.1,24.35,28.0,36.4
het_hisp_female,19.35,25.0,30.2,43.4
het_hisp_male,20.1,24.35,28.0,36.4
het_white_female,19.35,25.0,30.2,43.4
het_white_male,20.1,24.35,28.0,36.4
idu_black_female,19.35,25.0,30.2,43.4
idu_black_male,19.4,23.35,26.4,34.0
idu_hisp_female,19.35,25.0,30.2,43.4
idu_hisp_male,19.85,23.7,26.7,32.8
idu_white_female,19.35,25.0,30.2,43.4
idu_white_male,19.85,23.7,26.7,32.8
msm_black_male,19.3,23.5,27.1,35.3
msm_hisp_male,20.1,23.9,26.7,33.4
msm_white_male,20.1,23.9,26.7,33.4

e765288baa567cbbfe275e8a53eecf9e019382e7
