group,param,estimate
het_black_female,age,0.033227
het_black_female,anx,-0.306398
het_black_female,bmi_dif1,0.487083
het_black_female,bmi_dif2,-1.888096
het_black_female,bmi_diff,-0.050029
het_black_female,bmi_raw_post,-0.080961
het_black_female,bmi_raw_post1,0.532654
het_black_female,bmi_raw_post2,-1.337689
het_black_female,cd4n_entry,4.0581e-05
het_black_female,ckd,0.025094
het_black_female,dm,0.560517
het_black_female,dpr,0.188357
het_black_female,h1yy_time,-0.039165
het_black_female,hcv,-0.082291
het_black_female,intercept,283.794232
het_black_female,lipid,0.057215
het_black_female,smoking,0.288253
het_black_female,year,-0.143053
het_black_male,age,0.038387
het_black_male,anx,-0.240083
het_black_male,bmi_dif1,0.400911
het_black_male,bmi_dif2,-0.421532
het_black_male,bmi_diff,-0.209053
het_black_male,bmi_raw_post,-0.155844
het_black_male,bmi_raw_post1,0.994529
het_black_male,bmi_raw_post2,-2.820833
het_black_male,cd4n_entry,0.000196
het_black_male,ckd,0.291685
het_black_male,dm,0.232245
het_black_male,dpr,-0.25478
het_black_male,h1yy_time,-0.106953
het_black_male,hcv,0.115211
het_black_male,intercept,309.78038
het_black_male,lipid,0.232802
het_black_male,smoking,-0.251312
het_black_male,year,-0.154765
het_hisp_female,age,0.033227
het_hisp_female,anx,-0.306398
het_hisp_female,bmi_dif1,0.487083
het_hisp_female,bmi_dif2,-1.888096
het_hisp_female,bmi_diff,-0.050029
het_hisp_female,bmi_raw_post,-0.080961
het_hisp_female,bmi_raw_post1,0.532654
het_hisp_female,bmi_raw_post2,-1.337689
het_hisp_female,cd4n_entry,4.0581e-05
het_hisp_female,ckd,0.025094
het_hisp_female,dm,0.560517
het_hisp_female,dpr,0.188357
het_hisp_female,h1yy_time,-0.039165
het_hisp_female,hcv,-0.082291
het_hisp_female,intercept,283.794232
het_hisp_female,lipid,0.057215
het_hisp_female,smoking,0.288253
het_hisp_female,year,-0.143053
het_hisp_male,age,0.022702
het_hisp_male,anx,0.251607
het_hisp_male,bmi_dif1,0.491245
het_hisp_male,bmi_dif2,-1.714113
het_hisp_male,bmi_diff,-0.006849
het_hisp_male,bmi_raw_post,0.342386
het_hisp_male,bmi_raw_post1,-1.152904
het_hisp_male,bmi_raw_post2,3.026743
het_hisp_male,cd4n_entry,-0.000687
het_hisp_male,ckd,0.415901
het_hisp_male,dm,0.79635
het_hisp_male,dpr,-0.186707
het_hisp_male,h1yy_time,-0.017806
het_hisp_male,hcv,0.604797
het_hisp_male,intercept,52.629396
het_hisp_male,lipid,0.337357
het_hisp_male,smoking,0.907492
het_hisp_male,year,-0.032962
het_white_female,age,0.033227
het_white_female,anx,-0.306398
het_white_female,bmi_dif1,0.487083
het_white_female,bmi_dif2,-1.888096
het_white_female,bmi_diff,-0.050029
het_white_female,bmi_raw_post,-0.080961
het_white_female,bmi_raw_post1,0.532654
het_white_female,bmi_raw_post2,-1.337689
het_white_female,cd4n_entry,4.0581e-05
het_white_female,ckd,0.025094
het_white_female,dm,0.560517
het_white_female,dpr,0.188357
het_white_female,h1yy_time,-0.039165
het_white_female,hcv,-0.082291
het_white_female,intercept,283.794232
het_white_female,lipid,0.057215
het_white_female,smoking,0.288253
het_white_female,year,-0.143053
het_white_male,age,0.022702
het_white_male,anx,0.251607
het_white_male,bmi_dif1,0.491245
het_white_male,bmi_dif2,-1.714113
het_white_male,bmi_diff,-0.006849
het_white_male,bmi_raw_post,0.342386
het_white_male,bmi_raw_post1,-1.152904
het_white_male,bmi_raw_post2,3.026743
het_white_male,cd4n_entry,-0.000687
het_white_male,ckd,0.415901
het_white_male,dm,0.79635
het_white_male,dpr,-0.186707
het_white_male,h1yy_time,-0.017806
het_white_male,hcv,0.604797
het_white_male,intercept,52.629396
het_white_male,lipid,0.337357
het_white_male,smoking,0.907492
het_white_male,year,-0.032962
idu_black_female,age,0.033227
idu_black_female,anx,-0.306398
idu_black_female,bmi_dif1,0.487083
idu_black_female,bmi_dif2,-1.888096
idu_black_female,bmi_diff,-0.050029
idu_black_female,bmi_raw_post,-0.080961
idu_black_female,bmi_raw_post1,0.532654
idu_black_female,bmi_raw_post2,-1.337689
idu_black_female,cd4n_entry,4.0581e-05
idu_black_female,ckd,0.025094
idu_black_female,dm,0.560517
idu_black_female,dpr,0.188357
idu_black_female,h1yy_time,-0.039165
idu_black_female,hcv,-0.082291
idu_black_female,intercept,283.794232
idu_black_female,lipid,0.057215
idu_black_female,smoking,0.288253
idu_black_female,year,-0.143053
idu_black_male,age,0.029625
idu_black_male,anx,0.175431
idu_black_male,bmi_dif1,0.111078
idu_black_male,bmi_dif2,-0.421813
idu_black_male,bmi_diff,-0.075999
idu_black_male,bmi_raw_post,0.176428
idu_black_male,bmi_raw_post1,-0.427195
idu_black_male,bmi_raw_post2,1.025443
idu_black_male,cd4n_entry,-0.000438
idu_black_male,ckd,0.47298
idu_black_male,dm,0.881469
idu_black_male,dpr,-0.229109
idu_black_male,h1yy_time,-0.049852
idu_black_male,hcv,0.241728
idu_black_male,intercept,503.699811
idu_black_male,lipid,-0.181682
idu_black_male,smoking,-0.02422
idu_black_male,year,-0.254753
idu_hisp_female,age,0.033227
idu_hisp_female,anx,-0.306398
idu_hisp_female,bmi_dif1,0.487083
idu_hisp_female,bmi_dif2,-1.888096
idu_hisp_female,bmi_diff,-0.050029
idu_hisp_female,bmi_raw_post,-0.080961
idu_hisp_female,bmi_raw_post1,0.532654
idu_hisp_female,bmi_raw_post2,-1.337689
idu_hisp_female,cd4n_entry,4.0581e-05
idu_hisp_female,ckd,0.025094
idu_hisp_female,dm,0.560517
idu_hisp_female,dpr,0.188357
idu_hisp_female,h1yy_time,-0.039165
idu_hisp_female,hcv,-0.082291
idu_hisp_female,intercept,283.794232
idu_hisp_female,lipid,0.057215
idu_hisp_female,smoking,0.288253
idu_hisp_female,year,-0.143053
idu_hisp_male,age,0.045821
idu_hisp_male,anx,0.295075
idu_hisp_male,bmi_dif1,-0.91143
idu_hisp_male,bmi_dif2,3.122769
idu_hisp_male,bmi_diff,0.227548
idu_hisp_male,bmi_raw_post,0.170461
idu_hisp_male,bmi_raw_post1,-0.264428
idu_hisp_male,bmi_raw_post2,0.653595
idu_hisp_male,cd4n_entry,-0.000446
idu_hisp_male,ckd,0.088717
idu_hisp_male,dm,0.559225
idu_hisp_male,dpr,0.168909
idu_hisp_male,h1yy_time,-0.04804
idu_hisp_male,hcv,0.42253
idu_hisp_male,intercept,145.766749
idu_hisp_male,lipid,0.375654
idu_hisp_male,smoking,0.027202
idu_hisp_male,year,-0.077329
idu_white_female,age,0.033227
idu_white_female,anx,-0.306398
idu_white_female,bmi_dif1,0.487083
idu_white_female,bmi_dif2,-1.888096
idu_white_female,bmi_diff,-0.050029
idu_white_female,bmi_raw_post,-0.080961
idu_white_female,bmi_raw_post1,0.532654
idu_white_female,bmi_raw_post2,-1.337689
idu_white_female,cd4n_entry,4.0581e-05
idu_white_female,ckd,0.025094
idu_white_female,dm,0.560517
idu_white_female,dpr,0.188357
idu_white_female,h1yy_time,-0.039165
idu_white_female,hcv,-0.082291
idu_white_female,intercept,283.794232
idu_white_female,lipid,0.057215
idu_white_female,smoking,0.288253
idu_white_female,year,-0.143053
idu_white_male,age,0.045821
idu_white_male,anx,0.295075
idu_white_male,bmi_dif1,-0.91143
idu_white_male,bmi_dif2,3.122769
idu_white_male,bmi_diff,0.227548
idu_white_male,bmi_raw_post,0.170461
idu_white_male,bmi_raw_post1,-0.264428
idu_white_male,bmi_raw_post2,0.653595
idu_white_male,cd4n_entry,-0.000446
idu_white_male,ckd,0.088717
idu_white_male,dm,0.559225
idu_white_male,dpr,0.168909
idu_white_male,h1yy_time,-0.04804
idu_white_male,hcv,0.42253
idu_white_male,intercept,145.766749
idu_white_male,lipid,0.375654
idu_white_male,smoking,0.027202
idu_white_male,year,-0.077329
msm_black_male,age,0.023827
msm_black_male,anx,0.176217
msm_black_male,bmi_dif1,0.109412
msm_black_male,bmi_dif2,-0.779848
msm_black_male,bmi_diff,0.059875
msm_black_male,bmi_raw_post,0.400792
msm_black_male,bmi_raw_post1,-1.242742
msm_black_male,bmi_raw_post2,3.307598
msm_black_male,cd4n_entry,-0.000938
msm_black_male,ckd,0.205902
msm_black_male,dm,0.289073
msm_black_male,dpr,0.38167
msm_black_male,h1yy_time,-0.059115
msm_black_male,hcv,0.27878
msm_black_male,intercept,225.175074
msm_black_male,lipid,0.358181
msm_black_male,smoking,0.035542
msm_black_male,year,-0.118539
msm_hisp_male,age,0.026523
msm_hisp_male,anx,0.241573
msm_hisp_male,bmi_dif1,0.345742
msm_hisp_male,bmi_dif2,-0.717612
msm_hisp_male,bmi_diff,-0.125865
msm_hisp_male,bmi_raw_post,0.052062
msm_hisp_male,bmi_raw_post1,0.249778
msm_hisp_male,bmi_raw_post2,-0.810163
msm_hisp_male,cd4n_entry,0.000387
msm_hisp_male,ckd,0.494599
msm_hisp_male,dm,0.340223
msm_hisp_male,dpr,0.219082
msm_hisp_male,h1yy_time,-0.037474
msm_hisp_male,hcv,-0.128754
msm_hisp_male,intercept,275.829621
