group,p5,p35,p65,p95
het_black_female,-3.5,0.2,2.2,7.8
het_black_male,-1.9,0.55,2.1,6.4
het_hisp_female,-3.5,0.2,2.2,7.8
het_hisp_male,-1.6,0.5,2.05,6.3
het_white_female,-3.5,0.2,2.2,7.8
het_white_male,-1.6,0.5,2.05,6.3
idu_black_female,-3.5,0.2,2.2,7.8
idu_black_male,-3.05,-0.2,1.0,4.45
idu_hisp_female,-3.5,0.2,2.2,7.8
idu_hisp_male,-2.5,-0.15,1.2,4.9
idu_white_female,-3.5,0.2,2.2,7.8
idu_white_male,-2.5,-0.15,1.2,4.9
msm_black_male,-2.0,0.15,1.6,5.55
msm_hisp_male,-1.8,0.1,1.25,4.5
msm_white_male,-1.8,0.1,1.25,4.5

e765288baa567cbbfe275e8a53eecf9e019382e7
