group,p5,p35,p65,p95
het_black_female,19.2,24.6,29.1,41.0
het_black_male,19.5,23.7,26.95,35.3
het_hisp_female,19.2,24.6,29.1,41.0
het_hisp_male,20.4,24.3,27.8,34.5
het_white_female,19.2,24.6,29.1,41.0
het_white_male,20.4,24.3,27.8,34.5
idu_black_female,19.2,24.6,29.1,41.0
idu_black_male,19.3,22.8,25.95,32.8
idu_hisp_female,19.2,24.6,29.1,41.0
idu_hisp_male,19.7,23.4,26.2,31.9
idu_white_female,19.2,24.6,29.1,41.0
idu_white_male,19.7,23.4,26.2,31.9
msm_black_male,19.1,23.1,26.25,33.9
msm_hisp_male,19.9,23.6,26.4,32.7
msm_white_male,19.9,23.6,26.4,32.7

e765288baa567cbbfe275e8a53eecf9e019382e7
