group,param,estimate
het_black_female,age,0.041541
het_black_female,anx,0.056754
het_black_female,bmi_dif1,-0.708622
het_black_female,bmi_dif2,1.925429
het_black_female,bmi_diff,0.244288
het_black_female,bmi_raw_post,-0.031149
het_black_female,bmi_raw_post1,0.139964
het_black_female,bmi_raw_post2,-0.326559
het_black_female,cd4n_entry,-0.000333
het_black_female,ckd,0.84758
het_black_female,dm,1.1132
het_black_female,dpr,0.129705
het_black_female,h1yy_time,-0.064142
het_black_female,hcv,0.036456
het_black_female,ht,0.153389
het_black_female,intercept,-143.907574
het_black_female,smoking,-0.136491
het_black_female,year,0.069491
het_black_male,age,0.02347
het_black_male,anx,-0.025763
het_black_male,bmi_dif1,0.584923
het_black_male,bmi_dif2,-2.699478
het_black_male,bmi_diff,0.001372
het_black_male,bmi_raw_post,0.078788
het_black_male,bmi_raw_post1,-0.180539
het_black_male,bmi_raw_post2,0.356723
het_black_male,cd4n_entry,-0.000148
het_black_male,ckd,0.413563
het_black_male,dm,0.982233
het_black_male,dpr,-0.337121
het_black_male,h1yy_time,-0.10632
het_black_male,hcv,-0.324813
het_black_male,ht,0.280246
het_black_male,intercept,-155.93529
het_black_male,smoking,0.06544
het_black_male,year,0.07457
het_hisp_female,age,0.045422
het_hisp_female,anx,-0.408371
het_hisp_female,bmi_dif1,-0.09605
het_hisp_female,bmi_dif2,0.123404
het_hisp_female,bmi_diff,0.067393
het_hisp_female,bmi_raw_post,0.045023
het_hisp_female,bmi_raw_post1,-0.033851
het_hisp_female,bmi_raw_post2,-0.072586
het_hisp_female,cd4n_entry,0.000356
het_hisp_female,ckd,1.169811
het_hisp_female,dm,0.812618
het_hisp_female,dpr,0.494613
het_hisp_female,h1yy_time,-0.086245
het_hisp_female,hcv,-0.851268
het_hisp_female,ht,0.678759
het_hisp_female,intercept,168.672537
het_hisp_female,smoking,-0.054644
het_hisp_female,year,-0.086821
het_hisp_male,age,0.02294
het_hisp_male,anx,0.172406
het_hisp_male,bmi_dif1,-0.537159
het_hisp_male,bmi_dif2,1.944459
het_hisp_male,bmi_diff,0.085784
het_hisp_male,bmi_raw_post,-0.024255
het_hisp_male,bmi_raw_post1,0.004867
het_hisp_male,bmi_raw_post2,0.197543
het_hisp_male,cd4n_entry,-0.000273
het_hisp_male,ckd,0.365085
het_hisp_male,dm,0.992467
het_hisp_male,dpr,-0.479835
het_hisp_male,h1yy_time,-0.088787
het_hisp_male,hcv,-0.409685
het_hisp_male,ht,0.478172
het_hisp_male,intercept,-135.305641
het_hisp_male,smoking,-0.165945
het_hisp_male,year,0.06572
het_white_female,age,0.045422
het_white_female,anx,-0.408371
het_white_female,bmi_dif1,-0.09605
het_white_female,bmi_dif2,0.123404
het_white_female,bmi_diff,0.067393
het_white_female,bmi_raw_post,0.045023
het_white_female,bmi_raw_post1,-0.033851
het_white_female,bmi_raw_post2,-0.072586
het_white_female,cd4n_entry,0.000356
het_white_female,ckd,1.169811
het_white_female,dm,0.812618
het_white_female,dpr,0.494613
het_white_female,h1yy_time,-0.086245
het_white_female,hcv,-0.851268
het_white_female,ht,0.678759
het_white_female,intercept,168.672537
het_white_female,smoking,-0.054644
het_white_female,year,-0.086821
het_white_male,age,0.02294
het_white_male,anx,0.172406
het_white_male,bmi_dif1,-0.537159
het_white_male,bmi_dif2,1.944459
het_white_male,bmi_diff,0.085784
het_white_male,bmi_raw_post,-0.024255
het_white_male,bmi_raw_post1,0.004867
het_white_male,bmi_raw_post2,0.197543
het_white_male,cd4n_entry,-0.000273
het_white_male,ckd,0.365085
het_white_male,dm,0.992467
het_white_male,dpr,-0.479835
het_white_male,h1yy_time,-0.088787
het_white_male,hcv,-0.409685
het_white_male,ht,0.478172
het_white_male,intercept,-135.305641
het_white_male,smoking,-0.165945
het_white_male,year,0.06572
idu_black_female,age,0.018458
idu_black_female,anx,-0.197822
idu_black_female,bmi_dif1,0.532731
idu_black_female,bmi_dif2,-2.476286
idu_black_female,bmi_diff,-0.053689
idu_black_female,bmi_raw_post,-0.000653
idu_black_female,bmi_raw_post1,-0.07619
idu_black_female,bmi_raw_post2,0.333248
idu_black_female,cd4n_entry,0.000944
idu_black_female,ckd,0.739308
idu_black_female,dm,0.842714
idu_black_female,dpr,0.371964
idu_black_female,h1yy_time,0.003546
idu_black_female,hcv,-0.739852
idu_black_female,ht,0.35574
idu_black_female,intercept,-137.839315
idu_black_female,smoking,1.240635
idu_black_female,year,0.065565
idu_black_male,age,0.013511
idu_black_male,anx,0.046762
idu_black_male,bmi_dif1,0.166916
idu_black_male,bmi_dif2,-0.627698
idu_black_male,bmi_diff,-0.054675
idu_black_male,bmi_raw_post,0.067799
idu_black_male,bmi_raw_post1,-0.199563
idu_black_male,bmi_raw_post2,0.419155
idu_black_male,cd4n_entry,0.000143
idu_black_male,ckd,0.414335
idu_black_male,dm,0.680342
idu_black_male,dpr,0.032301
idu_black_male,h1yy_time,-0.040436
idu_black_male,hcv,-0.520614
idu_black_male,ht,0.624998
idu_black_male,intercept,-194.715307
idu_black_male,smoking,0.111836
idu_black_male,year,0.094005
idu_hisp_female,age,0.018458
idu_hisp_female,anx,-0.197822
idu_hisp_female,bmi_dif1,0.532731
idu_hisp_female,bmi_dif2,-2.476286
idu_hisp_female,bmi_diff,-0.053689
idu_hisp_female,bmi_raw_post,-0.000653
idu_hisp_female,bmi_raw_post1,-0.07619
idu_hisp_female,bmi_raw_post2,0.333248
idu_hisp_female,cd4n_entry,0.000944
idu_hisp_female,ckd,0.739308
idu_hisp_female,dm,0.842714
idu_hisp_female,dpr,0.371964
idu_hisp_female,h1yy_time,0.003546
idu_hisp_female,hcv,-0.739852
idu_hisp_female,ht,0.35574
idu_hisp_female,intercept,-137.839315
idu_hisp_female,smoking,1.240635
idu_hisp_female,year,0.065565
idu_hisp_male,age,0.034927
idu_hisp_male,anx,0.139807
idu_hisp_male,bmi_dif1,0.459752
idu_hisp_male,bmi_dif2,-1.624242
idu_hisp_male,bmi_diff,-0.103094
idu_hisp_male,bmi_raw_post,0.006106
idu_hisp_male,bmi_raw_post1,0.272641
idu_hisp_male,bmi_raw_post2,-0.728336
idu_hisp_male,cd4n_entry,0.000317
idu_hisp_male,ckd,-0.092468
idu_hisp_male,dm,0.46822
idu_hisp_male,dpr,0.010964
idu_hisp_male,h1yy_time,-0.00116
idu_hisp_male,hcv,-0.84021
idu_hisp_male,ht,0.369928
idu_hisp_male,intercept,157.841426
idu_hisp_male,smoking,0.019869
idu_hisp_male,year,-0.081191
idu_white_female,age,0.018458
idu_white_female,anx,-0.197822
idu_white_female,bmi_dif1,0.532731
