group,p5,p35,p65,p95
het_black_female,-2.95,0.3,2.4,8.1
het_black_male,-2.3,0.45,2.05,6.7
het_hisp_female,-4.45,0.0,2.0,7.2
het_hisp_male,-2.0,0.4,2.05,5.65
het_white_female,-4.45,0.0,2.0,7.2
het_white_male,-2.0,0.4,2.05,5.65
idu_black_female,-3.7,-0.1,2.1,7.6
idu_black_male,-2.9,-0.25,1.15,4.45
idu_hisp_female,-3.7,-0.1,2.1,7.6
idu_hisp_male,-2.6,-0.25,1.05,4.85
idu_white_female,-3.7,-0.1,2.1,7.6
idu_white_male,-2.6,-0.25,1.05,4.85
msm_black_male,-2.15,0.1,1.6,5.9
msm_hisp_male,-1.75,0.1,1.2,5.0
msm_white_male,-1.8,0.1,1.2,4.25

e765288baa567cbbfe275e8a53eecf9e019382e7
