group,p5,p35,p65,p95
het_black_female,19.4,26.2,32.0,46.5
het_black_male,19.65,24.35,28.25,38.4
het_hisp_female,19.1,24.4,29.95,46.2
het_hisp_male,20.4,24.2,27.6,33.6
het_white_female,19.1,24.4,29.95,46.2
het_white_male,20.4,24.2,27.6,33.6
idu_black_female,19.35,24.3,28.25,37.9
idu_black_male,19.3,23.2,26.5,34.3
idu_hisp_female,19.35,24.3,28.25,37.9
idu_hisp_male,19.75,23.4,26.3,32.1
idu_white_female,19.35,24.3,28.25,37.9
idu_white_male,19.75,23.4,26.3,32.1
msm_black_male,19.2,23.4,27.0,35.7
msm_hisp_male,20.3,24.1,27.0,33.4
msm_white_male,19.7,23.65,26.5,33.7

e765288baa567cbbfe275e8a53eecf9e019382e7
