group,param,estimate
het_black_female,age,0.01157
het_black_female,anx,0.135347
het_black_female,bmi_dif1,0.519385
het_black_female,bmi_dif2,-2.678242
het_black_female,bmi_diff,0.07643
het_black_female,bmi_raw_post,-0.08035
het_black_female,bmi_raw_post1,0.325293
het_black_female,bmi_raw_post2,-1.025645
het_black_female,cd4n_entry,-0.000305
het_black_female,ckd,0.13357
het_black_female,dm,1.41589
het_black_female,dpr,0.17175
het_black_female,h1yy_time,0.00757
het_black_female,hcv,1.824455
het_black_female,ht,0.542154
het_black_female,intercept,82.885226
het_black_female,lipid,-0.593668
het_black_female,smoking,0.94566
het_black_female,year,-0.044797
het_black_male,age,0.01157
het_black_male,anx,0.135347
het_black_male,bmi_dif1,0.519385
het_black_male,bmi_dif2,-2.678242
het_black_male,bmi_diff,0.07643
het_black_male,bmi_raw_post,-0.08035
het_black_male,bmi_raw_post1,0.325293
het_black_male,bmi_raw_post2,-1.025645
het_black_male,cd4n_entry,-0.000305
het_black_male,ckd,0.13357
het_black_male,dm,1.41589
het_black_male,dpr,0.17175
het_black_male,h1yy_time,0.00757
het_black_male,hcv,1.824455
het_black_male,ht,0.542154
het_black_male,intercept,82.885226
het_black_male,lipid,-0.593668
het_black_male,smoking,0.94566
het_black_male,year,-0.044797
het_hisp_female,age,0.01157
het_hisp_female,anx,0.135347
het_hisp_female,bmi_dif1,0.519385
het_hisp_female,bmi_dif2,-2.678242
het_hisp_female,bmi_diff,0.07643
het_hisp_female,bmi_raw_post,-0.08035
het_hisp_female,bmi_raw_post1,0.325293
het_hisp_female,bmi_raw_post2,-1.025645
het_hisp_female,cd4n_entry,-0.000305
het_hisp_female,ckd,0.13357
het_hisp_female,dm,1.41589
het_hisp_female,dpr,0.17175
het_hisp_female,h1yy_time,0.00757
het_hisp_female,hcv,1.824455
het_hisp_female,ht,0.542154
het_hisp_female,intercept,82.885226
het_hisp_female,lipid,-0.593668
het_hisp_female,smoking,0.94566
het_hisp_female,year,-0.044797
het_hisp_male,age,0.01157
het_hisp_male,anx,0.135347
het_hisp_male,bmi_dif1,0.519385
het_hisp_male,bmi_dif2,-2.678242
het_hisp_male,bmi_diff,0.07643
het_hisp_male,bmi_raw_post,-0.08035
het_hisp_male,bmi_raw_post1,0.325293
het_hisp_male,bmi_raw_post2,-1.025645
het_hisp_male,cd4n_entry,-0.000305
het_hisp_male,ckd,0.13357
het_hisp_male,dm,1.41589
het_hisp_male,dpr,0.17175
het_hisp_male,h1yy_time,0.00757
het_hisp_male,hcv,1.824455
het_hisp_male,ht,0.542154
het_hisp_male,intercept,82.885226
het_hisp_male,lipid,-0.593668
het_hisp_male,smoking,0.94566
het_hisp_male,year,-0.044797
het_white_female,age,0.01157
het_white_female,anx,0.135347
het_white_female,bmi_dif1,0.519385
het_white_female,bmi_dif2,-2.678242
het_white_female,bmi_diff,0.07643
het_white_female,bmi_raw_post,-0.08035
het_white_female,bmi_raw_post1,0.325293
het_white_female,bmi_raw_post2,-1.025645
het_white_female,cd4n_entry,-0.000305
het_white_female,ckd,0.13357
het_white_female,dm,1.41589
het_white_female,dpr,0.17175
het_white_female,h1yy_time,0.00757
het_white_female,hcv,1.824455
het_white_female,ht,0.542154
het_white_female,intercept,82.885226
het_white_female,lipid,-0.593668
het_white_female,smoking,0.94566
het_white_female,year,-0.044797
het_white_male,age,0.01157
het_white_male,anx,0.135347
het_white_male,bmi_dif1,0.519385
het_white_male,bmi_dif2,-2.678242
het_white_male,bmi_diff,0.07643
het_white_male,bmi_raw_post,-0.08035
het_white_male,bmi_raw_post1,0.325293
het_white_male,bmi_raw_post2,-1.025645
het_white_male,cd4n_entry,-0.000305
het_white_male,ckd,0.13357
het_white_male,dm,1.41589
het_white_male,dpr,0.17175
het_white_male,h1yy_time,0.00757
het_white_male,hcv,1.824455
het_white_male,ht,0.542154
het_white_male,intercept,82.885226
het_white_male,lipid,-0.593668
het_white_male,smoking,0.94566
het_white_male,year,-0.044797
idu_black_female,age,0.01157
idu_black_female,anx,0.135347
idu_black_female,bmi_dif1,0.519385
idu_black_female,bmi_dif2,-2.678242
idu_black_female,bmi_diff,0.07643
idu_black_female,bmi_raw_post,-0.08035
idu_black_female,bmi_raw_post1,0.325293
idu_black_female,bmi_raw_post2,-1.025645
idu_black_female,cd4n_entry,-0.000305
idu_black_female,ckd,0.13357
idu_black_female,dm,1.41589
idu_black_female,dpr,0.17175
idu_black_female,h1yy_time,0.00757
idu_black_female,hcv,1.824455
idu_black_female,ht,0.542154
idu_black_female,intercept,82.885226
idu_black_female,lipid,-0.593668
idu_black_female,smoking,0.94566
idu_black_female,year,-0.044797
idu_black_male,age,0.01157
idu_black_male,anx,0.135347
idu_black_male,bmi_dif1,0.519385
idu_black_male,bmi_dif2,-2.678242
idu_black_male,bmi_diff,0.07643
idu_black_male,bmi_raw_post,-0.08035
idu_black_male,bmi_raw_post1,0.325293
idu_black_male,bmi_raw_post2,-1.025645
idu_black_male,cd4n_entry,-0.000305
idu_black_male,ckd,0.13357
idu_black_male,dm,1.41589
idu_black_male,dpr,0.17175
idu_black_male,h1yy_time,0.00757
idu_black_male,hcv,1.824455
idu_black_male,ht,0.542154
idu_black_male,intercept,82.885226
idu_black_male,lipid,-0.593668
idu_black_male,smoking,0.94566
idu_black_male,year,-0.044797
idu_hisp_female,age,0.01157
idu_hisp_female,anx,0.135347
idu_hisp_female,bmi_dif1,0.519385
idu_hisp_female,bmi_dif2,-2.678242
idu_hisp_female,bmi_diff,0.07643
idu_hisp_female,bmi_raw_post,-0.08035
idu_hisp_female,bmi_raw_post1,0.325293
idu_hisp_female,bmi_raw_post2,-1.025645
idu_hisp_female,cd4n_entry,-0.000305
idu_hisp_female,ckd,0.13357
idu_hisp_female,dm,1.41589
idu_hisp_female,dpr,0.17175
idu_hisp_female,h1yy_time,0.00757
idu_hisp_female,hcv,1.824455
idu_hisp_female,ht,0.542154
idu_hisp_female,intercept,82.885226
idu_hisp_female,lipid,-0.593668
idu_hisp_female,smoking,0.94566
idu_hisp_female,year,-0.044797
idu_hisp_male,age,0.01157
idu_hisp_male,anx,0.135347
idu_hisp_male,bmi_dif1,0.519385
idu_hisp_male,bmi_dif2,-2.678242
idu_hisp_male,bmi_diff,0.07643
idu_hisp_male,bmi_raw_post,-0.08035
