group,p5,p35,p65,p95
het_black_female,-2.35,0.2,1.8,6.35
het_black_male,-2.35,0.2,1.8,6.35
het_hisp_female,-2.35,0.2,1.8,6.35
het_hisp_male,-2.35,0.2,1.8,6.35
het_white_female,-2.35,0.2,1.8,6.35
het_white_male,-2.35,0.2,1.8,6.35
idu_black_female,-2.35,0.2,1.8,6.35
idu_black_male,-2.35,0.2,1.8,6.35
idu_hisp_female,-2.35,0.2,1.8,6.35
idu_hisp_male,-2.35,0.2,1.8,6.35
idu_white_female,-2.35,0.2,1.8,6.35
idu_white_male,-2.35,0.2,1.8,6.35
msm_black_male,-2.35,0.2,1.8,6.35
msm_hisp_male,-2.35,0.2,1.8,6.35
msm_white_male,-2.35,0.2,1.8,6.35

78afb11136ad6826f4380131a8fb55a74548f900
