group,param,estimate
het_black_female,age,0.030548
het_black_female,anx,-0.259641
het_black_female,bmi_dif1,-0.785207
het_black_female,bmi_dif2,2.461909
het_black_female,bmi_diff,0.140549
het_black_female,bmi_raw_post,-0.018069
het_black_female,bmi_raw_post1,0.040689
het_black_female,bmi_raw_post2,-0.302797
het_black_female,cd4n_entry,-0.00209
het_black_female,ckd,-0.009834
het_black_female,dm,0.368367
het_black_female,dpr,0.41328
het_black_female,h1yy_time,-0.052986
het_black_female,hcv,0.593412
het_black_female,ht,0.565386
het_black_female,intercept,182.879243
het_black_female,lipid,-0.722871
het_black_female,smoking,-0.309944
het_black_female,year,-0.093211
het_black_male,age,0.067639
het_black_male,anx,0.430389
het_black_male,bmi_dif1,-0.337956
het_black_male,bmi_dif2,1.350368
het_black_male,bmi_diff,0.03276
het_black_male,bmi_raw_post,-0.115492
het_black_male,bmi_raw_post1,0.280869
het_black_male,bmi_raw_post2,-0.552186
het_black_male,cd4n_entry,-0.00071
het_black_male,ckd,-0.275231
het_black_male,dm,0.678078
het_black_male,dpr,0.22383
het_black_male,h1yy_time,-0.018543
het_black_male,hcv,-0.126022
het_black_male,ht,0.050287
het_black_male,intercept,8.062693
het_black_male,lipid,-0.359644
het_black_male,smoking,0.349557
het_black_male,year,-0.006768
het_hisp_female,age,0.030548
het_hisp_female,anx,-0.259641
het_hisp_female,bmi_dif1,-0.785207
het_hisp_female,bmi_dif2,2.461909
het_hisp_female,bmi_diff,0.140549
het_hisp_female,bmi_raw_post,-0.018069
het_hisp_female,bmi_raw_post1,0.040689
het_hisp_female,bmi_raw_post2,-0.302797
het_hisp_female,cd4n_entry,-0.00209
het_hisp_female,ckd,-0.009834
het_hisp_female,dm,0.368367
het_hisp_female,dpr,0.41328
het_hisp_female,h1yy_time,-0.052986
het_hisp_female,hcv,0.593412
het_hisp_female,ht,0.565386
het_hisp_female,intercept,182.879243
het_hisp_female,lipid,-0.722871
het_hisp_female,smoking,-0.309944
het_hisp_female,year,-0.093211
het_hisp_male,age,0.067639
het_hisp_male,anx,0.430389
