group,p5,p35,p65,p95
het_black_female,-3.5,0.35,2.5,8.4
het_black_male,-2.2,0.2,1.8,6.3
het_hisp_female,-3.5,0.35,2.5,8.4
het_hisp_male,-2.2,0.2,1.8,6.3
het_white_female,-3.5,0.35,2.5,8.4
het_white_male,-2.2,0.2,1.8,6.3
idu_black_female,-3.5,0.35,2.5,8.4
idu_black_male,-2.2,0.2,1.8,6.3
idu_hisp_female,-3.5,0.35,2.5,8.4
idu_hisp_male,-2.2,0.2,1.8,6.3
idu_white_female,-3.5,0.35,2.5,8.4
idu_white_male,-2.2,0.2,1.8,6.3
msm_black_male,-1.9,0.1,1.4,5.05
msm_hisp_male,-1.9,0.1,1.4,5.05
msm_white_male,-1.9,0.1,1.4,5.05

78afb11136ad6826f4380131a8fb55a74548f900
