group,p5,p35,p65,p95
het_black_female,19.5,25.7,31.0,45.2
het_black_male,20.2,24.2,27.65,35.2
het_hisp_female,19.5,25.7,31.0,45.2
het_hisp_male,20.2,24.2,27.65,35.2
het_white_female,19.5,25.7,31.0,45.2
het_white_male,20.2,24.2,27.65,35.2
idu_black_female,19.5,25.7,31.0,45.2
idu_black_male,20.2,24.2,27.65,35.2
idu_hisp_female,19.5,25.7,31.0,45.2
idu_hisp_male,20.2,24.2,27.65,35.2
idu_white_female,19.5,25.7,31.0,45.2
idu_white_male,20.2,24.2,27.65,35.2
msm_black_male,19.9,23.9,27.1,34.95
msm_hisp_male,19.9,23.9,27.1,34.95
msm_white_male,19.9,23.9,27.1,34.95

78afb11136ad6826f4380131a8fb55a74548f900
