group,param,estimate
het_black_female,age,0.036379
het_black_female,anx,0.335341
het_black_female,bmi_dif1,-0.222754
het_black_female,bmi_dif2,0.763892
het_black_female,bmi_diff,0.025878
het_black_female,bmi_raw_post,-0.148762
het_black_female,bmi_raw_post1,0.607669
het_black_female,bmi_raw_post2,-1.548078
het_black_female,cd4n_entry,0.000222
het_black_female,ckd,-0.529939
het_black_female,dm,0.664419
het_black_female,dpr,0.359459
het_black_female,h1yy_time,0.054766
het_black_female,hcv,0.289155
het_black_female,ht,0.897625
het_black_female,intercept,-67.829187
het_black_female,lipid,1.876028
het_black_female,smoking,0.379646
het_black_female,year,0.030099
het_black_male,age,0.036379
het_black_male,anx,0.335341
het_black_male,bmi_dif1,-0.222754
het_black_male,bmi_dif2,0.763892
het_black_male,bmi_diff,0.025878
het_black_male,bmi_raw_post,-0.148762
het_black_male,bmi_raw_post1,0.607669
het_black_male,bmi_raw_post2,-1.548078
het_black_male,cd4n_entry,0.000222
het_black_male,ckd,-0.529939
het_black_male,dm,0.664419
het_black_male,dpr,0.359459
het_black_male,h1yy_time,0.054766
het_black_male,hcv,0.289155
het_black_male,ht,0.897625
het_black_male,intercept,-67.829187
het_black_male,lipid,1.876028
het_black_male,smoking,0.379646
het_black_male,year,0.030099
het_hisp_female,age,0.036379
het_hisp_female,anx,0.335341
het_hisp_female,bmi_dif1,-0.222754
het_hisp_female,bmi_dif2,0.763892
het_hisp_female,bmi_diff,0.025878
het_hisp_female,bmi_raw_post,-0.148762
het_hisp_female,bmi_raw_post1,0.607669
het_hisp_female,bmi_raw_post2,-1.548078
het_hisp_female,cd4n_entry,0.000222
het_hisp_female,ckd,-0.529939
het_hisp_female,dm,0.664419
het_hisp_female,dpr,0.359459
het_hisp_female,h1yy_time,0.054766
het_hisp_female,hcv,0.289155
het_hisp_female,ht,0.897625
het_hisp_female,intercept,-67.829187
het_hisp_female,lipid,1.876028
het_hisp_female,smoking,0.379646
het_hisp_female,year,0.030099
het_hisp_male,age,0.036379
het_hisp_male,anx,0.335341
het_hisp_male,bmi_dif1,-0.222754
het_hisp_male,bmi_dif2,0.763892
het_hisp_male,bmi_diff,0.025878
het_hisp_male,bmi_raw_post,-0.148762
het_hisp_male,bmi_raw_post1,0.607669
het_hisp_male,bmi_raw_post2,-1.548078
het_hisp_male,cd4n_entry,0.000222
het_hisp_male,ckd,-0.529939
het_hisp_male,dm,0.664419
het_hisp_male,dpr,0.359459
het_hisp_male,h1yy_time,0.054766
het_hisp_male,hcv,0.289155
het_hisp_male,ht,0.897625
het_hisp_male,intercept,-67.829187
het_hisp_male,lipid,1.876028
het_hisp_male,smoking,0.379646
het_hisp_male,year,0.030099
het_white_female,age,0.036379
het_white_female,anx,0.335341
het_white_female,bmi_dif1,-0.222754
het_white_female,bmi_dif2,0.763892
het_white_female,bmi_diff,0.025878
het_white_female,bmi_raw_post,-0.148762
het_white_female,bmi_raw_post1,0.607669
het_white_female,bmi_raw_post2,-1.548078
het_white_female,cd4n_entry,0.000222
het_white_female,ckd,-0.529939
het_white_female,dm,0.664419
het_white_female,dpr,0.359459
het_white_female,h1yy_time,0.054766
het_white_female,hcv,0.289155
het_white_female,ht,0.897625
het_white_female,intercept,-67.829187
het_white_female,lipid,1.876028
het_white_female,smoking,0.379646
het_white_female,year,0.030099
het_white_male,age,0.036379
het_white_male,anx,0.335341
het_white_male,bmi_dif1,-0.222754
het_white_male,bmi_dif2,0.763892
het_white_male,bmi_diff,0.025878
het_white_male,bmi_raw_post,-0.148762
het_white_male,bmi_raw_post1,0.607669
het_white_male,bmi_raw_post2,-1.548078
het_white_male,cd4n_entry,0.000222
het_white_male,ckd,-0.529939
het_white_male,dm,0.664419
het_white_male,dpr,0.359459
het_white_male,h1yy_time,0.054766
het_white_male,hcv,0.289155
het_white_male,ht,0.897625
het_white_male,intercept,-67.829187
het_white_male,lipid,1.876028
het_white_male,smoking,0.379646
het_white_male,year,0.030099
idu_black_female,age,0.036379
idu_black_female,anx,0.335341
idu_black_female,bmi_dif1,-0.222754
idu_black_female,bmi_dif2,0.763892
idu_black_female,bmi_diff,0.025878
idu_black_female,bmi_raw_post,-0.148762
idu_black_female,bmi_raw_post1,0.607669
idu_black_female,bmi_raw_post2,-1.548078
idu_black_female,cd4n_entry,0.000222
idu_black_female,ckd,-0.529939
idu_black_female,dm,0.664419
idu_black_female,dpr,0.359459
idu_black_female,h1yy_time,0.054766
idu_black_female,hcv,0.289155
idu_black_female,ht,0.897625
idu_black_female,intercept,-67.829187
idu_black_female,lipid,1.876028
idu_black_female,smoking,0.379646
idu_black_female,year,0.030099
idu_black_male,age,0.036379
idu_black_male,anx,0.335341
idu_black_male,bmi_dif1,-0.222754
idu_black_male,bmi_dif2,0.763892
idu_black_male,bmi_diff,0.025878
idu_black_male,bmi_raw_post,-0.148762
idu_black_male,bmi_raw_post1,0.607669
idu_black_male,bmi_raw_post2,-1.548078
idu_black_male,cd4n_entry,0.000222
idu_black_male,ckd,-0.529939
idu_black_male,dm,0.664419
idu_black_male,dpr,0.359459
idu_black_male,h1yy_time,0.054766
idu_black_male,hcv,0.289155
idu_black_male,ht,0.897625
idu_black_male,intercept,-67.829187
idu_black_male,lipid,1.876028
idu_black_male,smoking,0.379646
idu_black_male,year,0.030099
idu_hisp_female,age,0.036379
idu_hisp_female,anx,0.335341
idu_hisp_female,bmi_dif1,-0.222754
idu_hisp_female,bmi_dif2,0.763892
idu_hisp_female,bmi_diff,0.025878
idu_hisp_female,bmi_raw_post,-0.148762
idu_hisp_female,bmi_raw_post1,0.607669
idu_hisp_female,bmi_raw_post2,-1.548078
idu_hisp_female,cd4n_entry,0.000222
idu_hisp_female,ckd,-0.529939
idu_hisp_female,dm,0.664419
idu_hisp_female,dpr,0.359459
idu_hisp_female,h1yy_time,0.054766
idu_hisp_female,hcv,0.289155
idu_hisp_female,ht,0.897625
idu_hisp_female,intercept,-67.829187
idu_hisp_female,lipid,1.876028
idu_hisp_female,smoking,0.379646
idu_hisp_female,year,0.030099
idu_hisp_male,age,0.036379
idu_hisp_male,anx,0.335341
idu_hisp_male,bmi_dif1,-0.222754
idu_hisp_male,bmi_dif2,0.763892
idu_hisp_male,bmi_diff,0.025878
idu_hisp_male,bmi_raw_post,-0.148762
idu_hisp_male,bmi_raw_post1,0.607669
idu_hisp_male,bmi_raw_post2,-1.548078
idu_hisp_male,cd4n_entry,0.000222
idu_hisp_male,ckd,-0.529939
idu_hisp_male,dm,0.664419
idu_hisp_male,dpr,0.359459
idu_hisp_male,h1yy_time,0.054766
idu_hisp_male,hcv,0.289155
idu_hisp_male,ht,0.897625
idu_hisp_male,intercept,-67.829187
idu_hisp_male,lipid,1.876028
idu_hisp_male,smoking,0.379646
idu_hisp_male,year,0.030099
idu_white_female,age,0.036379
idu_white_female,anx,0.335341
idu_white_female,bmi_dif1,-0.222754
idu_white_female,bmi_dif2,0.763892
idu_white_female,bmi_diff,0.025878
idu_white_female,bmi_raw_post,-0.148762
idu_white_female,bmi_raw_post1,0.607669
