group,p5,p35,p65,p95
het_black_female,-2.3,0.2,1.75,6.3
het_black_male,-2.3,0.2,1.75,6.3
het_hisp_female,-2.3,0.2,1.75,6.3
het_hisp_male,-2.3,0.2,1.75,6.3
het_white_female,-2.3,0.2,1.75,6.3
het_white_male,-2.3,0.2,1.75,6.3
idu_black_female,-2.3,0.2,1.75,6.3
idu_black_male,-2.3,0.2,1.75,6.3
idu_hisp_female,-2.3,0.2,1.75,6.3
idu_hisp_male,-2.3,0.2,1.75,6.3
idu_white_female,-2.3,0.2,1.75,6.3
idu_white_male,-2.3,0.2,1.75,6.3
msm_black_male,-2.3,0.2,1.75,6.3
msm_hisp_male,-2.3,0.2,1.75,6.3
msm_white_male,-2.3,0.2,1.75,6.3

78afb11136ad6826f4380131a8fb55a74548f900
