group,p5,p35,p65,p95
het_black_female,19.9,24.2,27.75,37.35
het_black_male,19.9,24.2,27.75,37.35
het_hisp_female,19.9,24.2,27.75,37.35
het_hisp_male,19.9,24.2,27.75,37.35
het_white_female,19.9,24.2,27.75,37.35
het_white_male,19.9,24.2,27.75,37.35
idu_black_female,19.9,24.2,27.75,37.35
idu_black_male,19.9,24.2,27.75,37.35
idu_hisp_female,19.9,24.2,27.75,37.35
idu_hisp_male,19.9,24.2,27.75,37.35
idu_white_female,19.9,24.2,27.75,37.35
idu_white_male,19.9,24.2,27.75,37.35
msm_black_male,19.9,24.2,27.75,37.35
msm_hisp_male,19.9,24.2,27.75,37.35
msm_white_male,19.9,24.2,27.75,37.35

78afb11136ad6826f4380131a8fb55a74548f900
