group,year,lower,upper
het_black_female,2006,6047.1549417696015,6982.468994402987
het_black_female,2007,5806.274707792214,6544.816805069906
het_black_female,2008,5549.728078978506,6151.516407424542
het_black_female,2009,5301.512646470288,5761.050867432402
het_black_female,2010,5070.902836965012,5380.67388764168
het_black_female,2011,4854.578876900444,5083.102537293688
het_black_female,2012,4594.084646053808,4831.626214815824
het_black_female,2013,4330.946116116235,4612.550243965139
het_black_female,2014,4134.812782782902,4421.310535742073
het_black_female,2015,4005.6846460538086,4251.814806885172
het_black_female,2016,3908.778818765808,4098.684107107688
het_black_female,2017,3749.7493756817657,4007.7405543083487
het_black_female,2018,3601.8820732542486,3995.8508674324044
het_black_female,2019,3440.249181162259,3994.0497407578787
het_black_female,2020,3283.2843624842217,3995.0834717365765
het_black_female,2021,3133.242411010254,3997.432481806279
het_black_female,2022,2989.8877043337043,4000.485194164003
het_black_female,2023,2852.9659879918368,4003.955003555358
het_black_female,2024,2722.21726031153,4007.6913100817765
het_black_female,2025,2597.3827155320796,4011.6078483205397
het_black_female,2026,2478.2085512221365,4015.651800756681
het_black_female,2027,2364.4480583196855,4019.7890782443446
het_black_female,2028,2255.8627377156836,4023.9967202360144
het_black_female,2029,2152.2228484451753,4028.2587080020803
het_black_female,2030,2053.3076159712887,4032.56353141312
het_black_female,2031,1958.9052336689779,4036.9027100927183
het_black_female,2032,1868.812737324738,4041.2698598020556
het_black_female,2033,1782.8358017504297,4045.66008347982
het_black_female,2034,1700.7884903880986,4050.0695626259094
het_black_female,2035,1622.4929776892461,4054.4952762258654
het_black_male,2006,3070.2243931892012,3972.2299166549406
het_black_male,2007,2945.9872706488413,3573.68121408397
het_black_male,2008,2820.285164527239,3247.101490323641
het_black_male,2009,2664.414495965262,2975.6364752167756
het_black_male,2010,2520.0721508229226,2750.101429256612
het_black_male,2011,2386.191052162106,2557.1163243533774
het_black_male,2012,2239.814146607635,2400.136252999574
het_black_male,2013,2087.288058590991,2266.801664873668
het_black_male,2014,1967.4819979849308,2146.9956042676076
het_black_male,2015,1880.3959647894537,2042.3657675130999
het_black_male,2016,1804.7159847344044,1958.086021323075
het_black_male,2017,1716.3986620421404,1911.459005014189
het_black_male,2018,1613.1709930410339,1891.4261804702537
het_black_male,2019,1502.418497860574,1880.8654896816902
het_black_male,2020,1388.5084827700553,1873.462318803185
het_black_male,2021,1273.1334840982936,1867.524131505921
het_black_male,2022,1156.974688052208,1862.369741582982
het_black_male,2023,1040.3513211707536,1857.679922495413
het_black_male,2024,923.4311245670106,1853.286933130133
het_black_male,2025,806.3101823563367,1849.0946893717828
het_black_male,2026,689.0473237201273,1845.0443620389674
het_black_male,2027,571.6805178158978,1841.0979819741738
het_black_male,2028,454.2353385506225,1837.2299752704253
het_black_male,2029,336.72962789870974,1833.4224999533162
het_black_male,2030,219.17620606746084,1829.6627358155392
het_black_male,2031,101.58451866603502,1825.9412372479433
het_black_male,2032,1,1822.2508933604486
het_black_male,2033,1,1818.5862497103594
het_black_male,2034,1,1814.9430531775688
het_black_male,2035,1,1811.3179388970768
het_hisp_female,2006,1156.9967426791245,1659.3817932799736
het_hisp_female,2007,1145.3395144092528,1555.1277402526082
het_hisp_female,2008,1132.483078645674,1451.5226557554865
het_hisp_female,2009,1118.4219738579948,1349.316311204317
het_hisp_female,2010,1102.9767328255853,1251.7385697053514
het_hisp_female,2011,1085.7000485787707,1200.556322340708
het_hisp_female,2012,1035.4557353431671,1159.895652969103
het_hisp_female,2013,983.1542756144971,1125.920909068534
het_hisp_female,2014,955.6209422811638,1098.5656158772758
het_hisp_female,2015,952.8557353431673,1076.431808840015
het_hisp_female,2016,954.7588088838069,1057.6762220939486
het_hisp_female,2017,924.4108317179487,1059.005236372018
het_hisp_female,2018,894.9686103154709,1101.5163112043165
het_hisp_female,2019,866.7093687463097,1148.6559890888193
het_hisp_female,2020,839.7319523330511,1197.1944069192743
het_hisp_female,2021,814.0467024329276,1246.3817932799727
het_hisp_female,2022,789.6207059216822,1295.9163916070972
het_hisp_female,2023,766.4005871802017,1345.656788726839
het_hisp_female,2024,744.3242207197974,1395.5286775240806
het_hisp_female,2025,723.3268639871491,1445.4894939947444
het_hisp_female,2026,703.3443914600889,1495.5131775823345
het_hisp_female,2027,684.3149763562317,1545.5829084475972
het_hisp_female,2028,666.179919798548,1595.6873576848461
het_hisp_female,2029,645.5998689856125,1645.8186215332103
het_hisp_female,2030,624.7101360543456,1695.9710208088406
het_hisp_female,2031,604.4564380268341,1746.1403712306524
het_hisp_female,2032,584.8213233998201,1796.323522767518
het_hisp_female,2033,565.7875290175414,1846.518059172793
het_hisp_female,2034,547.3380519832674,1896.722096370002
het_hisp_female,2035,529.4561984862867,1946.934143768041
het_hisp_male,2006,783.3086224499345,1031.1281460244732
het_hisp_male,2007,758.2617633574775,965.0380346575639
het_hisp_male,2008,733.5440345811913,899.5477992434717
het_hisp_male,2009,709.2524910009411,835.3504931760544
het_hisp_male,2010,685.3043966441768,774.9170280526564
het_hisp_male,2011,661.420871059804,725.4315419829244
het_hisp_male,2012,622.1700462450826,688.4067995587533
het_hisp_male,2013,585.0614600618401,658.5680146685079
het_hisp_male,2014,558.6250964254765,632.1316510321443
het_hisp_male,2015,542.8609553359917,609.4384486802489
het_hisp_male,2016,529.70141382742,592.5027980956369
het_hisp_male,2017,509.9899088741329,589.8624825981108
het_hisp_male,2018,483.4843355202116,597.4232204487815
het_hisp_male,2019,453.782752046865,608.7477992434715
het_hisp_male,2020,422.78823922684296,621.3653073848363
het_hisp_male,2021,391.193850454004,634.5826914790182
het_hisp_male,2022,359.2785152878002,648.121021966565
het_hisp_male,2023,327.172949407692,661.8495831680164
het_hisp_male,2024,294.9458388121601,675.6996890848917
het_hisp_male,2025,262.63652766245593,689.6319955559388
het_hisp_male,2026,230.26910510994935,703.6224134297881
het_hisp_male,2027,197.85911862208894,717.655395238992
het_hisp_male,2028,165.4170401058709,731.7204690765532
het_hisp_male,2029,132.95017542569872,745.8103290780689
het_hisp_male,2030,100.46377415171747,759.919725673393
het_hisp_male,2031,67.96170403634795,774.0447911101055
het_hisp_male,2032,35.446876820043485,788.182613647752
het_hisp_male,2033,2.9215259674368212,802.3309598217022
het_hisp_male,2034,1,816.4880880803728
het_hisp_male,2035,1,830.6526205915325
het_white_female,2006,990.2814968571852,1364.4035855268467
het_white_female,2007,991.0398610852844,1296.8679655497256
het_white_female,2008,991.1280358212939,1229.8818988938747
het_white_female,2009,990.4323245571579,1164.0802998155234
het_white_female,2010,988.7367618163698,1102.047076408048
het_white_female,2011,985.6447088408877,1072.6908910684874
het_white_female,2012,956.461599790354,1053.2574468456705
het_white_female,2013,927.3265516863523,1037.3853550112574
het_white_female,2014,915.5750365348372,1025.6334583525595
het_white_female,2015,921.2070543358086,1017.5170969833579
het_white_female,2016,929.1023740520726,1011.8543279415884
het_white_female,2017,911.4652715544543,1019.7864703474423
het_white_female,2018,893.5512033631792,1058.3166634518873
het_white_female,2019,875.704540633265,1100.6152322272083
het_white_female,2020,858.1085409283959,1144.0982685800286
het_white_female,2021,840.8603387377881,1188.1308582541196
het_white_female,2022,824.0104324753926,1232.4574706433987
het_white_female,2023,807.5832712251159,1276.9583555971021
het_white_female,2024,791.5882813662491,1321.570589074997
het_white_female,2025,776.025995256678,1366.258127434415
het_white_female,2026,760.891587263936,1410.9989023242586
het_white_female,2027,746.1769848614688,1455.7786705291874
het_white_female,2028,731.8721670833335,1500.5878386136867
het_white_female,2029,717.965983356145,1545.4197135906008
het_white_female,2030,704.4466803503379,1590.2694862678034
het_white_female,2031,691.3022461154385,1635.1336133524214
het_white_female,2032,678.520637068409,1680.009427365237
het_white_female,2033,666.0899282707815,1724.8948822033854
het_white_female,2034,653.9984125523315,1769.7883824112525
het_white_female,2035,642.2346649970615,1814.6886657407429
het_white_male,2006,452.7752841431973,621.3906997362078
het_white_male,2007,452.2124337425254,590.8098832887227
het_white_male,2008,451.3030498358137,560.5777139006407
het_white_male,2009,449.9997481307038,531.0969932289433
het_white_male,2010,448.20548825330656,503.82048489930946
het_white_male,2011,445.7368243069931,486.83238046646585
het_white_male,2012,431.1389859461426,476.4997379271882
het_white_male,2013,418.0191026240659,467.96849557338095
het_white_male,2014,411.4978905028538,461.4527717602238
het_white_male,2015,411.5753495825063,456.670583951584
het_white_male,2016,413.46671737199955,453.04183674829795
het_white_male,2017,405.45174368975927,458.17200005082464
het_white_male,2018,396.43392145354994,472.4060841380343
het_white_male,2019,387.52879320799633,488.8443805673073
het_white_male,2020,378.8143836731411,506.0341257129651
het_white_male,2021,370.0587491772001,523.5725179180258
het_white_male,2022,360.92068023588797,541.2974437151522
het_white_male,2023,351.92463963458647,559.1329313354347
het_white_male,2024,343.0804254936474,577.0390605732376
het_white_male,2025,334.3936740043191,594.9929646574215
het_white_male,2026,325.8673785167517,612.9806430071172
het_white_male,2027,317.50280467038243,630.9930594561288
het_white_male,2028,309.30006077890846,649.0241277468494
het_white_male,2029,301.25846438156475,667.0696017211719
het_white_male,2030,293.37678431889884,685.1264303363166
het_white_male,2031,285.6534045323224,703.1923656600213
het_white_male,2032,278.08643731693326,721.265715392832
het_white_male,2033,270.67380314228916,739.3451814482494
het_white_male,2034,263.4132878764115,757.4297516389448
het_white_male,2035,256.3025844335947,775.5186251707648
idu_black_female,2006,1050.4583717367705,1269.2920039749336
idu_black_female,2007,939.9428427810769,1137.9082150580498
idu_black_female,2008,840.6734032166212,1006.8367581304409
idu_black_female,2009,751.4007666520031,876.438479037254
idu_black_female,2010,670.9372405115613,748.8798659316492
idu_black_female,2011,598.1187726715639,637.8392070289522
idu_black_female,2012,498.28348427180083,563.206238644449
idu_black_female,2013,414.5485392061484,498.94616349614637
idu_black_female,2014,357.26975132736067,443.4885808986341
idu_black_female,2015,326.44712063543733,395.15303838054194
idu_black_female,2016,312.82026035428635,352.598584198342
idu_black_female,2017,282.90878329611166,347.9283507801343
idu_black_female,2018,248.30253047959616,360.9293881281632
idu_black_female,2019,217.82911288192435,376.7700914637746
idu_black_female,2020,191.02960270444788,393.2839726338076
idu_black_female,2021,167.48081350183517,410.110185793115
idu_black_female,2022,146.80044174133735,427.1035032095937
idu_black_female,2023,128.6468450358475,444.19586633213237
idu_black_female,2024,112.71658905068797,461.35151304284665
idu_black_female,2025,98.7411687626278,478.5499583729803
idu_black_female,2026,86.48354297482979,495.7786600418648
idu_black_female,2027,75.7347717906195,513.0295230901785
idu_black_female,2028,66.31088274299117,530.297095204774
idu_black_female,2029,58.050012287639184,547.5775725072814
idu_black_female,2030,50.809830869823024,564.8682217514688
idu_black_female,2031,44.46524121937493,582.167029149651
idu_black_female,2032,38.90633106021349,599.4724786722462
idu_black_female,2033,34.03655814653383,616.7834074414204
idu_black_female,2034,29.7711449487689,634.0989086992527
idu_black_female,2035,26.035661089316577,651.418265062291
idu_black_male,2006,1957.5992138549723,2403.7418844744907
idu_black_male,2007,1769.2267806700102,2160.5507438784257
idu_black_male,2008,1598.5249064540324,1917.9381176802103
idu_black_male,2009,1443.691474817362,1676.572379674362
idu_black_male,2010,1303.006663897076,1440.5308942174381
idu_black_male,2011,1163.9288240369622,1230.3823109874572
idu_black_male,2012,978.3697222753711,1101.547602386242
idu_black_male,2013,825.8224229508304,988.4541000809843
idu_black_male,2014,723.8103017387093,889.0847654078684
idu_black_male,2015,672.3333586390077,801.1451955282668
idu_black_male,2016,653.8682179763559,722.7028585093677
idu_black_male,2017,605.6289840753246,726.4460457325896
idu_black_male,2018,540.1152886932176,758.463288765271
idu_black_male,2019,481.53843550989455,795.8047843468768
idu_black_male,2020,429.21800711987294,834.3931681208499
idu_black_male,2021,382.51636569982463,873.5600662926709
idu_black_male,2022,340.848438795243,913.0364819716154
idu_black_male,2023,303.6832871002679,952.6963542575307
idu_black_male,2024,270.5420699516396,992.4734430571693
idu_black_male,2025,240.99451678756714,1032.3298052530417
idu_black_male,2026,214.65488544341264,1072.2422095073468
idu_black_male,2027,191.17786996266923,1112.195661997236
idu_black_male,2028,170.25467449176156,1152.1800637198344
idu_black_male,2029,151.60934922820894,1192.188368972235
idu_black_male,2030,134.99542388665188,1232.2155151212392
idu_black_male,2031,120.19284346935517,1272.2577721449154
idu_black_male,2032,107.00519573086027,1312.312331989747
idu_black_male,2033,95.25721236095491,1352.3770407246836
idu_black_male,2034,84.79252284056948,1392.4502188147085
idu_black_male,2035,75.47163916886443,1432.5305374921322
idu_hisp_female,2006,211.5820060581231,417.8216343613977
idu_hisp_female,2007,209.46521978333033,352.88391194827057
idu_hisp_female,2008,203.86936076030315,314.41984135058146
idu_hisp_female,2009,196.48183223049875,276.73967165139595
idu_hisp_female,2010,188.10800421540893,240.94424638114356
idu_hisp_female,2011,179.0515206704331,215.2622537057564
idu_hisp_female,2012,158.29495737294098,197.55179643299735
idu_hisp_female,2013,138.6820269715876,183.9449734818189
idu_hisp_female,2014,127.57293606249668,173.35596750772186
idu_hisp_female,2015,124.96768464566834,164.73404962164798
idu_hisp_female,2016,126.28153957780094,157.35941757828252
idu_hisp_female,2017,121.44786303513415,163.18061001750723
idu_hisp_female,2018,113.92381451037573,176.75785346957784
idu_hisp_female,2019,104.9989206109814,192.21984135058148
idu_hisp_female,2020,96.69543636169313,208.27736676745502
idu_hisp_female,2021,88.98911470045346,224.6112016730774
idu_hisp_female,2022,81.84869509038522,241.09286803193612
idu_hisp_female,2023,75.2402618146953,257.6621567584802
idu_hisp_female,2024,69.12947788241914,274.28743032325826
idu_hisp_female,2025,63.482745020073146,290.9505663710903
idu_hisp_female,2026,58.267801260318734,307.64046917282116
idu_hisp_female,2027,53.454013948386724,324.3499773932417
idu_hisp_female,2028,49.01250318197913,341.07426755634003
idu_hisp_female,2029,44.91616904245883,357.80997450028826
idu_hisp_female,2030,41.13966382671855,374.5546802151017
idu_hisp_female,2031,37.659333110086564,391.3066031713017
idu_hisp_female,2032,34.453139756863386,408.0644021890779
idu_hisp_female,2033,31.500579398849048,424.82704850995617
idu_hisp_female,2034,28.782592589972804,441.5937399560438
idu_hisp_female,2035,26.2814768373938,458.36384188259854
idu_hisp_male,2006,797.9039042267658,1286.1026313832904
idu_hisp_male,2007,787.5527626887225,1181.9916509475543
idu_hisp_male,2008,773.6639658915776,1078.2090559404044
idu_hisp_male,2009,757.1461420116514,975.1342391924866
idu_hisp_male,2010,738.4048406971287,893.0828194774706
idu_hisp_male,2011,717.3616458794613,835.4868777726363
idu_hisp_male,2012,677.6441544820607,787.9242143193783
idu_hisp_male,2013,620.9236531119018,749.8597249036967
idu_hisp_male,2014,590.2812288694777,719.8507861694916
idu_hisp_male,2015,585.7168817547881,695.5164875479577
idu_hisp_male,2016,576.5586537284618,674.7250166213101
idu_hisp_male,2017,548.3515180647361,660.474899364791
idu_hisp_male,2018,522.0210609044871,699.3524210106685
idu_hisp_male,2019,497.6035014919991,741.1423892737379
idu_hisp_male,2020,475.0144182939377,783.6401357960394
idu_hisp_male,2021,454.12315915745467,826.466267746927
idu_hisp_male,2022,434.78681573293454,869.4680928864539
idu_hisp_male,2023,416.8653062808788,912.5740545465774
idu_hisp_male,2024,400.22769507388244,955.7465524852093
idu_hisp_male,2025,380.4319821208933,998.9640488340704
idu_hisp_male,2026,360.9521527749613,1042.2133566563293
idu_hisp_male,2027,342.43113420875784,1085.4859649227687
idu_hisp_male,2028,324.8251486406638,1128.7761410787639
idu_hisp_male,2029,308.0917211947027,1172.079885731771
idu_hisp_male,2030,292.1898545594556,1215.3943251504215
idu_hisp_male,2031,277.0801179497449,1258.717342041083
idu_hisp_male,2032,262.72468209195745,1302.0473424523161
idu_hisp_male,2033,249.0873198033685,1345.3831037359469
