group,p5,p35,p65,p95
het_black_female,27.0,41.0,49.0,63.0
het_black_male,30.0,45.0,52.0,65.0
het_hisp_female,28.0,40.0,49.0,64.0
het_hisp_male,30.0,42.0,51.0,66.0
het_white_female,28.0,43.0,51.0,66.0
het_white_male,32.0,47.0,54.0,69.0
idu_black_female,38.0,50.0,55.0,64.0
idu_black_male,41.0,53.0,58.0,67.0
idu_hisp_female,33.0,48.0,54.0,65.0
idu_hisp_male,33.0,49.0,56.0,65.0
idu_white_female,32.0,44.0,51.0,61.0
idu_white_male,33.0,48.0,55.0,65.0
msm_black_male,23.0,34.0,47.0,60.0
msm_hisp_male,26.0,38.0,46.0,59.0
msm_white_male,29.0,45.0,52.0,65.0

175c6544104608c5e9499952dc58d989e4724f62
