group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
het_hisp_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
het_white_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
idu_black_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
idu_hisp_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
idu_white_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
msm_black_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
msm_hisp_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
msm_white_male,144.6299,-0.0745,0.0126,0.1006,-0.4662,-0.0062,-0.1061,0.5877,-0.1821,-0.3463
het_black_female,127.7539,-0.0659,0.0152,0.029,-0.0707,-0.0189,-0.1209,0.8388,0.014,-0.102
het_hisp_female,127.7539,-0.0659,0.0152,0.029,-0.0707,-0.0189,-0.1209,0.8388,0.014,-0.102
het_white_female,127.7539,-0.0659,0.0152,0.029,-0.0707,-0.0189,-0.1209,0.8388,0.014,-0.102
idu_black_female,127.7539,-0.0659,0.0152,0.029,-0.0707,-0.0189,-0.1209,0.8388,0.014,-0.102
idu_hisp_female,127.7539,-0.0659,0.0152,0.029,-0.0707,-0.0189,-0.1209,0.8388,0.014,-0.102
idu_white_female,127.7539,-0.0659,0.0152,0.029,-0.0707,-0.0189,-0.1209,0.8388,0.014,-0.102

5cd9001de530247b6d7db1d247575f56a9c9e13f
