group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_male,152.2538,-0.0783,0.0178,0.0723,-0.3526,-0.0106,-0.0717,0.3995,-0.2457,-0.7673
idu_black_male,152.2538,-0.0783,0.0178,0.0723,-0.3526,-0.0106,-0.0717,0.3995,-0.2457,-0.7673
msm_black_male,152.2538,-0.0783,0.0178,0.0723,-0.3526,-0.0106,-0.0717,0.3995,-0.2457,-0.7673
het_hisp_male,195.1568,-0.0993,-0.025,0.267,-0.879,-0.008,-0.0435,0.1361,-0.1332,-0.0089
idu_hisp_male,195.1568,-0.0993,-0.025,0.267,-0.879,-0.008,-0.0435,0.1361,-0.1332,-0.0089
msm_hisp_male,195.1568,-0.0993,-0.025,0.267,-0.879,-0.008,-0.0435,0.1361,-0.1332,-0.0089
het_white_male,109.757,-0.0572,0.0155,0.0868,-0.4542,0.0076,-0.1869,1.0782,-0.1459,-0.0766
idu_white_male,109.757,-0.0572,0.0155,0.0868,-0.4542,0.0076,-0.1869,1.0782,-0.1459,-0.0766
msm_white_male,109.757,-0.0572,0.0155,0.0868,-0.4542,0.0076,-0.1869,1.0782,-0.1459,-0.0766
het_black_female,177.9623,-0.0906,0.0005,0.0478,-0.1132,-0.0141,-0.1359,0.8736,-0.1817,-0.0845
idu_black_female,177.9623,-0.0906,0.0005,0.0478,-0.1132,-0.0141,-0.1359,0.8736,-0.1817,-0.0845
het_hisp_female,43.7371,-0.0246,0.0433,-0.0095,0.0199,-0.0329,-0.0816,0.6862,0.3593,-0.0713
het_white_female,43.7371,-0.0246,0.0433,-0.0095,0.0199,-0.0329,-0.0816,0.6862,0.3593,-0.0713
idu_hisp_female,43.7371,-0.0246,0.0433,-0.0095,0.0199,-0.0329,-0.0816,0.6862,0.3593,-0.0713
idu_white_female,43.7371,-0.0246,0.0433,-0.0095,0.0199,-0.0329,-0.0816,0.6862,0.3593,-0.0713

5cd9001de530247b6d7db1d247575f56a9c9e13f
