group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_female,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
het_black_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
het_hisp_female,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
het_hisp_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
het_white_female,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
het_white_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
idu_black_female,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
idu_black_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
idu_hisp_female,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
idu_hisp_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
idu_white_female,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
idu_white_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
msm_black_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
msm_hisp_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083
msm_white_male,141.5505,-0.0729,0.0113,0.0909,-0.4371,-0.0084,-0.1083,0.64,-0.151,-0.3083

5cd9001de530247b6d7db1d247575f56a9c9e13f
