group,1,2,3,4
het_black_female,3.7416573868,13.784048752,18.439088915,26.83281573
het_black_male,3.8729833462,13.490737563,18.601075238,26.608269391
het_hisp_female,3.7416573868,13.784048752,18.439088915,26.83281573
het_hisp_male,3.8729833462,13.490737563,18.601075238,26.608269391
het_white_female,3.7416573868,13.784048752,18.439088915,26.83281573
het_white_male,3.8729833462,13.490737563,18.601075238,26.608269391
idu_black_female,3.7416573868,13.784048752,18.439088915,26.83281573
idu_black_male,3.8729833462,13.490737563,18.601075238,26.608269391
idu_hisp_female,3.7416573868,13.784048752,18.439088915,26.83281573
idu_hisp_male,3.8729833462,13.490737563,18.601075238,26.608269391
idu_white_female,3.7416573868,13.784048752,18.439088915,26.83281573
idu_white_male,3.8729833462,13.490737563,18.601075238,26.608269391
msm_black_male,3.8729833462,13.490737563,18.601075238,26.608269391
msm_hisp_male,3.8729833462,13.490737563,18.601075238,26.608269391
msm_white_male,3.8729833462,13.490737563,18.601075238,26.608269391

5cd9001de530247b6d7db1d247575f56a9c9e13f
