group,1,2,3,4
het_black_female,3.3166247904,13.527749258,18.275666882,26.570660511
het_black_male,3.1622776602,12.727922061,18.138357147,26.191601707
het_hisp_female,4.582575695,14.38749457,18.894443628,27.349588662
het_hisp_male,4.0,12.845232579,18.0,25.82634314
het_white_female,4.582575695,14.38749457,18.894443628,27.349588662
het_white_male,4.6904157598,14.38749457,19.287301522,27.239676944
idu_black_female,3.3166247904,13.527749258,18.275666882,26.570660511
idu_black_male,3.1622776602,12.727922061,18.138357147,26.191601707
idu_hisp_female,4.582575695,14.38749457,18.894443628,27.349588662
idu_hisp_male,4.0,12.845232579,18.0,25.82634314
idu_white_female,4.582575695,14.38749457,18.894443628,27.349588662
idu_white_male,4.6904157598,14.38749457,19.287301522,27.239676944
msm_black_male,3.1622776602,12.727922061,18.138357147,26.191601707
msm_hisp_male,4.0,12.845232579,18.0,25.82634314
msm_white_male,4.6904157598,14.38749457,19.287301522,27.239676944

5cd9001de530247b6d7db1d247575f56a9c9e13f
