group,1,2,3,4
het_black_female,3.3166247904,13.527749258,18.303005218,26.589471601
het_black_male,2.8284271247,10.95445115,17.146428199,25.317977802
het_hisp_female,4.582575695,14.422205102,18.894443628,27.258026341
het_hisp_male,3.1622776602,10.535653753,16.462077633,25.099800796
het_white_female,4.582575695,14.422205102,18.894443628,27.258026341
het_white_male,3.1622776602,10.535653753,16.462077633,25.099800796
idu_black_female,3.0,13.564659966,17.944358445,26.381811917
idu_black_male,3.4641016151,13.190905958,17.916472867,26.229754097
idu_hisp_female,4.6904157598,14.282856857,18.601075238,27.422618402
idu_hisp_male,4.472135955,13.564659966,18.193405399,25.553864678
idu_white_female,4.6904157598,14.282856857,18.601075238,27.422618402
idu_white_male,4.472135955,14.212670404,18.920887928,26.702059846
msm_black_male,3.3166247904,13.527749258,18.814887722,26.514147167
msm_hisp_male,4.472135955,13.747727085,18.520259177,26.153393661
msm_white_male,5.0,14.696938457,19.467922334,27.513632984

5cd9001de530247b6d7db1d247575f56a9c9e13f
