group,1,2,3,4
het_black_female,3.7416573868,13.564659966,18.574175621,26.683328128
het_black_male,3.7416573868,13.564659966,18.574175621,26.683328128
het_hisp_female,3.7416573868,13.564659966,18.574175621,26.683328128
het_hisp_male,3.7416573868,13.564659966,18.574175621,26.683328128
het_white_female,3.7416573868,13.564659966,18.574175621,26.683328128
het_white_male,3.7416573868,13.564659966,18.574175621,26.683328128
idu_black_female,3.7416573868,13.564659966,18.574175621,26.683328128
idu_black_male,3.7416573868,13.564659966,18.574175621,26.683328128
idu_hisp_female,3.7416573868,13.564659966,18.574175621,26.683328128
idu_hisp_male,3.7416573868,13.564659966,18.574175621,26.683328128
idu_white_female,3.7416573868,13.564659966,18.574175621,26.683328128
idu_white_male,3.7416573868,13.564659966,18.574175621,26.683328128
msm_black_male,3.7416573868,13.564659966,18.574175621,26.683328128
msm_hisp_male,3.7416573868,13.564659966,18.574175621,26.683328128
msm_white_male,3.7416573868,13.564659966,18.574175621,26.683328128

5cd9001de530247b6d7db1d247575f56a9c9e13f
