group,1,2,3,4
het_black_female,28.0,42.0,50.0,63.0
het_black_male,27.0,44.0,53.0,65.0
het_hisp_female,28.0,42.0,50.0,63.0
het_hisp_male,27.0,44.0,53.0,65.0
het_white_female,28.0,42.0,50.0,63.0
het_white_male,27.0,44.0,53.0,65.0
idu_black_female,28.0,42.0,50.0,63.0
idu_black_male,27.0,44.0,53.0,65.0
idu_hisp_female,28.0,42.0,50.0,63.0
idu_hisp_male,27.0,44.0,53.0,65.0
idu_white_female,28.0,42.0,50.0,63.0
idu_white_male,27.0,44.0,53.0,65.0
msm_black_male,27.0,44.0,53.0,65.0
msm_hisp_male,27.0,44.0,53.0,65.0
msm_white_male,27.0,44.0,53.0,65.0

4079fca7808bd05a22bb61efba4c0167733acff8
