group,1,2,3,4
het_black_female,27.0,41.0,49.0,63.0
het_black_male,30.0,45.0,52.0,65.0
het_hisp_female,28.0,41.0,50.0,65.0
het_hisp_male,30.0,44.0,52.0,67.0
het_white_female,28.0,41.0,50.0,65.0
het_white_male,30.0,44.0,52.0,67.0
idu_black_female,38.0,50.0,55.0,63.0
idu_black_male,42.0,53.0,58.0,67.0
idu_hisp_female,32.0,45.0,52.0,63.0
idu_hisp_male,34.0,49.0,57.0,66.0
idu_white_female,32.0,45.0,52.0,63.0
idu_white_male,33.0,48.0,55.0,66.0
msm_black_male,23.0,34.0,46.0,60.0
msm_hisp_male,25.0,38.0,46.0,59.0
msm_white_male,29.0,45.0,52.0,65.0

4079fca7808bd05a22bb61efba4c0167733acff8
