group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
het_hisp_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
het_white_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
idu_black_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
idu_hisp_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
idu_white_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
msm_black_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
msm_hisp_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
msm_white_male,113.0467,-0.058,0.0325,0.0874,-0.4086,-0.1617,0.0756,0.076
het_black_female,65.5374,-0.0339,0.0191,0.0803,-0.3176,-0.1855,0.1285,-0.2146
het_hisp_female,65.5374,-0.0339,0.0191,0.0803,-0.3176,-0.1855,0.1285,-0.2146
het_white_female,65.5374,-0.0339,0.0191,0.0803,-0.3176,-0.1855,0.1285,-0.2146
idu_black_female,65.5374,-0.0339,0.0191,0.0803,-0.3176,-0.1855,0.1285,-0.2146
idu_hisp_female,65.5374,-0.0339,0.0191,0.0803,-0.3176,-0.1855,0.1285,-0.2146
idu_white_female,65.5374,-0.0339,0.0191,0.0803,-0.3176,-0.1855,0.1285,-0.2146

4079fca7808bd05a22bb61efba4c0167733acff8
