group,1,2,3,4
het_black_female,9.1378334412,20.260799589,25.64176281,34.176014981
het_black_male,9.9498743711,19.748417658,24.576411455,32.280024783
het_hisp_female,9.1378334412,20.260799589,25.64176281,34.176014981
het_hisp_male,9.9498743711,19.748417658,24.576411455,32.280024783
het_white_female,9.1378334412,20.260799589,25.64176281,34.176014981
het_white_male,9.9498743711,19.748417658,24.576411455,32.280024783
idu_black_female,9.1378334412,20.260799589,25.64176281,34.176014981
idu_black_male,9.9498743711,19.748417658,24.576411455,32.280024783
idu_hisp_female,9.1378334412,20.260799589,25.64176281,34.176014981
idu_hisp_male,9.9498743711,19.748417658,24.576411455,32.280024783
idu_white_female,9.1378334412,20.260799589,25.64176281,34.176014981
idu_white_male,9.9498743711,19.748417658,24.576411455,32.280024783
msm_black_male,9.9498743711,19.748417658,24.576411455,32.280024783
msm_hisp_male,9.9498743711,19.748417658,24.576411455,32.280024783
msm_white_male,9.9498743711,19.748417658,24.576411455,32.280024783

4079fca7808bd05a22bb61efba4c0167733acff8
