group,1,2,3,4
het_black_female,8.7464278423,20.049937656,25.436194684,34.073450075
het_black_male,8.3666002653,18.734993995,23.727621035,31.599050619
het_hisp_female,9.7979589711,20.688160866,26.0,34.409301068
het_hisp_male,9.9498743711,19.261360284,23.94786003,31.352830813
het_white_female,9.7979589711,20.688160866,26.0,34.409301068
het_white_male,11.66190379,20.928449536,25.514701644,33.045423284
idu_black_female,8.7464278423,20.049937656,25.436194684,34.073450075
idu_black_male,8.3666002653,18.734993995,23.727621035,31.599050619
idu_hisp_female,9.7979589711,20.688160866,26.0,34.409301068
idu_hisp_male,9.9498743711,19.261360284,23.94786003,31.352830813
idu_white_female,9.7979589711,20.688160866,26.0,34.409301068
idu_white_male,11.66190379,20.928449536,25.514701644,33.045423284
msm_black_male,8.3666002653,18.734993995,23.727621035,31.599050619
msm_hisp_male,9.9498743711,19.261360284,23.94786003,31.352830813
msm_white_male,11.66190379,20.928449536,25.514701644,33.045423284

4079fca7808bd05a22bb61efba4c0167733acff8
