group,1,2,3,4
het_black_female,8.602325267,20.087309427,25.38700455,33.941125497
het_black_male,7.3824115301,18.138357147,23.119256043,31.272991542
het_hisp_female,10.148891565,21.166010489,26.343879745,34.669871647
het_hisp_male,8.3666002653,18.520259177,23.8117618,31.921779399
het_white_female,10.148891565,21.166010489,26.343879745,34.669871647
het_white_male,8.3666002653,18.520259177,23.8117618,31.921779399
idu_black_female,9.3808315196,19.697715604,25.719642299,34.957116586
idu_black_male,8.8881944173,18.574175621,23.579652245,31.638584039
idu_hisp_female,8.8881944173,18.533752993,24.372115214,33.105890714
idu_hisp_male,9.3808315196,18.289341158,23.270152556,31.112698372
idu_white_female,8.8881944173,18.533752993,24.372115214,33.105890714
idu_white_male,10.511898021,19.62141687,24.69817807,32.924155266
msm_black_male,8.514693183,19.287301522,24.228082879,31.796226191
msm_hisp_male,11.313708499,20.087309427,24.494897428,31.638584039
msm_white_male,12.489995997,21.377558326,25.758493745,33.06055051

4079fca7808bd05a22bb61efba4c0167733acff8
