group,1,2,3,4
het_black_female,9.7979589711,19.836834425,24.768932153,32.672618505
het_black_male,9.7979589711,19.836834425,24.768932153,32.672618505
het_hisp_female,9.7979589711,19.836834425,24.768932153,32.672618505
het_hisp_male,9.7979589711,19.836834425,24.768932153,32.672618505
het_white_female,9.7979589711,19.836834425,24.768932153,32.672618505
het_white_male,9.7979589711,19.836834425,24.768932153,32.672618505
idu_black_female,9.7979589711,19.836834425,24.768932153,32.672618505
idu_black_male,9.7979589711,19.836834425,24.768932153,32.672618505
idu_hisp_female,9.7979589711,19.836834425,24.768932153,32.672618505
idu_hisp_male,9.7979589711,19.836834425,24.768932153,32.672618505
idu_white_female,9.7979589711,19.836834425,24.768932153,32.672618505
idu_white_male,9.7979589711,19.836834425,24.768932153,32.672618505
msm_black_male,9.7979589711,19.836834425,24.768932153,32.672618505
msm_hisp_male,9.7979589711,19.836834425,24.768932153,32.672618505
msm_white_male,9.7979589711,19.836834425,24.768932153,32.672618505

4079fca7808bd05a22bb61efba4c0167733acff8
