group,mortality_age_group,p
msm_hisp_male,0,0.000568234434139777
msm_hisp_male,1,0.00116088426373395
msm_hisp_male,2,0.00126943353395361
msm_hisp_male,3,0.0013046662896517799
msm_hisp_male,4,0.00157450964440961
msm_hisp_male,5,0.00191113097694036
msm_hisp_male,6,0.00278423912928866
msm_hisp_male,7,0.004276415840379581
msm_hisp_male,8,0.00661218561892018
msm_hisp_male,9,0.00988422150272613
msm_hisp_male,10,0.0139555209987648
msm_hisp_male,11,0.02070257705102
msm_hisp_male,12,0.0324163341669689
msm_hisp_male,13,0.053284329370462
msm_black_male,0,0.00117420117606795
msm_black_male,1,0.00206511894091856
msm_black_male,2,0.00241500084958042
msm_black_male,3,0.00284017645062776
msm_black_male,4,0.00343336229353008
msm_black_male,5,0.00440376392635305
msm_black_male,6,0.00591396506417204
msm_black_male,7,0.00881001962551949
msm_black_male,8,0.0135798011968611
msm_black_male,9,0.0204095652364737
msm_black_male,10,0.0287476188938753
msm_black_male,11,0.037202404002540296
msm_black_male,12,0.0535199287228791
msm_black_male,13,0.07784334203655349
msm_white_male,0,0.000625433292316125
msm_white_male,1,0.00122067185468377
msm_white_male,2,0.0016601175081005799
msm_white_male,3,0.0020275468771098998
msm_white_male,4,0.00241514912171574
msm_white_male,5,0.0028474677112175903
msm_white_male,6,0.0039978461509394695
msm_white_male,7,0.00601561336455491
msm_white_male,8,0.009209175596079961
msm_white_male,9,0.013157641283901001
msm_white_male,10,0.018143154948204
msm_white_male,11,0.0264898135901247
msm_white_male,12,0.042027237959905796
msm_white_male,13,0.0695398236005813
het_hisp_female,0,0.00024247158548928598
het_hisp_female,1,0.000347407154799264
het_hisp_female,2,0.000444076190786448
het_hisp_female,3,0.000565457635672723
het_hisp_female,4,0.0007269710914169631
het_hisp_female,5,0.0009447535151483259
het_hisp_female,6,0.00141296202222009
het_hisp_female,7,0.0022903005279043998
het_hisp_female,8,0.0035532710763303797
het_hisp_female,9,0.0053455069729646
het_hisp_female,10,0.008244771332795659
het_hisp_female,11,0.013030370737362301
het_hisp_female,12,0.0216769951862768
het_hisp_female,13,0.0382484215663349
het_hisp_male,0,0.000568234434139777
het_hisp_male,1,0.00116088426373395
het_hisp_male,2,0.00126943353395361
het_hisp_male,3,0.0013046662896517799
het_hisp_male,4,0.00157450964440961
het_hisp_male,5,0.00191113097694036
het_hisp_male,6,0.00278423912928866
het_hisp_male,7,0.004276415840379581
het_hisp_male,8,0.00661218561892018
het_hisp_male,9,0.00988422150272613
het_hisp_male,10,0.0139555209987648
het_hisp_male,11,0.02070257705102
het_hisp_male,12,0.0324163341669689
het_hisp_male,13,0.053284329370462
het_black_female,0,0.000365062317228247
het_black_female,1,0.0006425867035667209
het_black_female,2,0.000937570400604286
het_black_female,3,0.0013046310205235701
het_black_female,4,0.00183165381542123
het_black_female,5,0.00254632653648665
het_black_female,6,0.0036369477500605898
het_black_female,7,0.00549295263289407
het_black_female,8,0.0082862024458284
het_black_female,9,0.0120424656608624
het_black_female,10,0.0165336583361536
het_black_female,11,0.023402909550917103
het_black_female,12,0.034836322524281794
het_black_female,13,0.0546994606753836
het_black_male,0,0.00117420117606795
het_black_male,1,0.00206511894091856
het_black_male,2,0.00241500084958042
het_black_male,3,0.00284017645062776
het_black_male,4,0.00343336229353008
het_black_male,5,0.00440376392635305
het_black_male,6,0.00591396506417204
het_black_male,7,0.00881001962551949
het_black_male,8,0.0135798011968611
het_black_male,9,0.0204095652364737
het_black_male,10,0.0287476188938753
het_black_male,11,0.037202404002540296
het_black_male,12,0.0535199287228791
het_black_male,13,0.07784334203655349
het_white_female,0,0.000300620234526627
het_white_female,1,0.000513247201958424
het_white_female,2,0.0007324687274766259
het_white_female,3,0.00102382973338998
het_white_female,4,0.0013264575522999001
het_white_female,5,0.0017237076134169
het_white_female,6,0.00251822863281348
het_white_female,7,0.00378824439919251
het_white_female,8,0.00562975207296119
het_white_female,9,0.00787834985488923
het_white_female,10,0.0113217956667982
het_white_female,11,0.0181297750050967
het_white_female,12,0.0300829488786672
het_white_female,13,0.0522436673954398
het_white_male,0,0.000625433292316125
het_white_male,1,0.00122067185468377
het_white_male,2,0.0016601175081005799
het_white_male,3,0.0020275468771098998
het_white_male,4,0.00241514912171574
het_white_male,5,0.0028474677112175903
het_white_male,6,0.0039978461509394695
het_white_male,7,0.00601561336455491
het_white_male,8,0.009209175596079961
het_white_male,9,0.013157641283901001
het_white_male,10,0.018143154948204
het_white_male,11,0.0264898135901247
het_white_male,12,0.042027237959905796
het_white_male,13,0.0695398236005813
idu_hisp_female,0,0.00242471585489286
idu_hisp_female,1,0.00347407154799264
idu_hisp_female,2,0.0044407619078644794
idu_hisp_female,3,0.00565457635672723
idu_hisp_female,4,0.00726971091416963
idu_hisp_female,5,0.00944753515148326
idu_hisp_female,6,0.0141296202222009
idu_hisp_female,7,0.022903005279044
idu_hisp_female,8,0.0355327107633038
idu_hisp_female,9,0.053455069729646
idu_hisp_female,10,0.0824477133279566
idu_hisp_female,11,0.130303707373623
idu_hisp_female,12,0.216769951862768
idu_hisp_female,13,0.382484215663349
idu_hisp_male,0,0.00568234434139777
idu_hisp_male,1,0.0116088426373395
idu_hisp_male,2,0.0126943353395361
idu_hisp_male,3,0.0130466628965178
idu_hisp_male,4,0.0157450964440961
idu_hisp_male,5,0.0191113097694036
idu_hisp_male,6,0.0278423912928866
idu_hisp_male,7,0.042764158403795806
idu_hisp_male,8,0.06612185618920181
idu_hisp_male,9,0.09884221502726129
idu_hisp_male,10,0.139555209987648
idu_hisp_male,11,0.2070257705102
idu_hisp_male,12,0.324163341669689
idu_hisp_male,13,0.53284329370462
idu_black_female,0,0.00365062317228247
idu_black_female,1,0.00642586703566721
idu_black_female,2,0.00937570400604286
idu_black_female,3,0.0130463102052357
idu_black_female,4,0.0183165381542123
idu_black_female,5,0.025463265364866497
idu_black_female,6,0.036369477500605894
idu_black_female,7,0.0549295263289407
idu_black_female,8,0.082862024458284
idu_black_female,9,0.12042465660862399
idu_black_female,10,0.16533658336153598
idu_black_female,11,0.234029095509171
idu_black_female,12,0.348363225242818
idu_black_female,13,0.546994606753836
idu_black_male,0,0.0117420117606795
idu_black_male,1,0.0206511894091856
idu_black_male,2,0.024150008495804197
idu_black_male,3,0.028401764506277603
idu_black_male,4,0.0343336229353008
idu_black_male,5,0.0440376392635305
idu_black_male,6,0.0591396506417204
idu_black_male,7,0.08810019625519488
idu_black_male,8,0.13579801196861102
idu_black_male,9,0.20409565236473698
idu_black_male,10,0.287476188938753
idu_black_male,11,0.372024040025403
idu_black_male,12,0.5351992872287911
idu_black_male,13,0.778433420365535
idu_white_female,0,0.00300620234526627
idu_white_female,1,0.0051324720195842395
idu_white_female,2,0.007324687274766259
idu_white_female,3,0.010238297333899799
idu_white_female,4,0.013264575522998999
idu_white_female,5,0.017237076134169003
idu_white_female,6,0.025182286328134802
idu_white_female,7,0.0378824439919251
idu_white_female,8,0.056297520729611895
idu_white_female,9,0.0787834985488923
idu_white_female,10,0.11321795666798201
idu_white_female,11,0.18129775005096702
idu_white_female,12,0.30082948878667204
idu_white_female,13,0.522436673954398
idu_white_male,0,0.00625433292316125
idu_white_male,1,0.0122067185468377
idu_white_male,2,0.0166011750810058
idu_white_male,3,0.020275468771099
idu_white_male,4,0.0241514912171574
idu_white_male,5,0.0284746771121759
idu_white_male,6,0.0399784615093947
idu_white_male,7,0.0601561336455491
idu_white_male,8,0.0920917559607996
idu_white_male,9,0.13157641283901
idu_white_male,10,0.18143154948204
idu_white_male,11,0.26489813590124706
idu_white_male,12,0.42027237959905794
idu_white_male,13,0.6953982360058131

4c7e15447a6e554296afb0fdf108b2fb52a0a3d0
